x,y
-20.21793938,1
-19.84406281,1
-19.47018623,2
-19.09630966,5
-18.72243309,8
-18.34855461,6
-17.97467804,4
-17.60080147,9
-17.2269249,8
-16.85304642,12
-16.47916985,10
-16.10529327,6
-15.7314167,10
-15.35753918,13
-14.98366261,10
-14.60978508,15
-14.23590851,19
-13.86203098,20
-13.48815441,28
-13.11427689,24
-12.74040031,38
-12.36652374,43
-11.99264622,31
-11.61876965,46
-11.24489212,45
-10.87101555,54
-10.49713802,51
-10.12326145,74
-9.74938488,67
-9.37550735,87
-9.00163078,105
-8.62775326,99
-8.25387669,124
-7.87999964,134
-7.50612259,154
-7.13224554,206
-6.75836849,234
-6.38449144,260
-6.0106144,317
-5.63673735,337
-5.26286077,446
-4.88898373,473
-4.51510668,606
-4.14122963,739
-3.76735258,895
-3.39347553,1052
-3.01959872,1302
-2.64572167,1556
-2.27184463,1895
-1.8979677,2324
-1.52409065,2759
-1.15021372,3684
-0.77633667,4678
-0.40245971,6849
-0.02858272,12097
0.34529427,18279
0.71917129,10965
1.09304821,9442
1.46692526,8268
1.84080219,7325
2.21467924,6363
2.58855629,5756
2.9624331,5114
3.33631015,4435
3.7101872,3845
4.08406401,3398
4.45794106,2757
4.8318181,2310
5.20569515,2011
5.5795722,1764
5.95344925,1510
6.3273263,1209
6.70120287,1056
7.07507992,830
7.44895697,733
7.82283401,586
8.19671059,550
8.57058811,417
8.94446468,358
9.31834221,298
9.69221878,256
10.06609631,190
10.43997288,138
10.8138504,119
11.18772697,96
11.56160355,73
11.93548107,76
12.30935764,42
12.68323517,28
13.05711174,23
13.43098927,11
13.80486584,12
14.17874241,7
14.55261993,15
14.92649651,7
15.30037403,6
15.6742506,6
16.04812813,3
16.4220047,1
17.16975784,1
