x,y
-30.14802361,1
-29.57855606,3
-29.00908852,2
-28.43962097,2
-27.87015533,3
-27.30068779,1
-26.73122025,4
-26.16175461,3
-25.59228706,6
-25.02281952,3
-24.45335197,1
-23.88388634,4
-23.31441879,8
-22.74495125,3
-22.17548561,8
-21.60601807,7
-21.03655052,9
-20.46708298,16
-19.89761734,11
-19.3281498,16
-18.75868225,12
-18.18921661,19
-17.61974907,19
-17.05028152,23
-16.48081398,21
-15.91134739,27
-15.3418808,27
-14.77241325,32
-14.20294666,40
-13.63348007,44
-13.06401253,46
-12.49454594,45
-11.92507839,58
-11.3556118,76
-10.78614426,89
-10.21667767,98
-9.64721107,117
-9.07774353,147
-8.50827694,155
-7.93880939,166
-7.3693428,220
-6.79987574,246
-6.23040867,302
-5.6609416,361
-5.09147453,421
-4.52200747,527
-3.95254064,653
-3.38307357,852
-2.8136065,1042
-2.24413943,1312
-1.67467248,1865
-1.10520554,2602
-0.53573847,3801
0.03372851,78633
0.60319555,9198
1.1726625,6868
1.74212956,6113
2.31159663,5189
2.88106346,4383
3.45053053,3484
4.0199976,2949
4.58946466,2410
5.15893173,2016
5.7283988,1617
6.29786539,1345
6.86733246,1016
7.43679953,828
8.00626659,650
8.57573318,510
9.14520073,417
9.71466732,357
10.28413486,267
10.85360146,207
11.423069,181
11.99253559,131
12.56200314,106
13.13146973,87
13.70093632,63
14.27040386,38
14.83987045,30
15.409338,19
15.97880459,13
16.54827118,7
17.11773872,8
17.68720627,8
18.25667191,6
18.82613945,3
19.39560699,1
19.96507454,5
20.53454018,3
21.10400772,1
21.67347527,2
22.2429409,2
22.81240845,1
23.38187599,2
23.95134354,3
24.52080917,1
25.09027672,2
26.22921181,4
26.79867744,1
