x,y
-25.18096733,1
-24.33976936,1
-23.91917038,3
-22.65737343,1
-22.23677444,1
-21.81617546,1
-21.39557648,2
-20.97497749,2
-20.55437851,2
-20.13377953,5
-19.71318054,4
-19.29258156,7
-18.87198257,7
-18.45138359,13
-18.03078461,16
-17.61018562,25
-17.18958664,40
-16.76898766,52
-16.34838867,54
-15.92778969,67
-15.5071907,91
-15.08659172,97
-14.66599274,142
-14.24539375,173
-13.82479477,209
-13.40419579,234
-12.9835968,295
-12.56299782,366
-12.14239883,442
-11.72179985,532
-11.30120087,625
-10.88060188,737
-10.4600029,834
-10.03940392,1039
-9.61880493,1302
-9.19820595,1429
-8.77760696,1776
-8.35700798,2091
-7.93640852,2560
-7.51580954,3000
-7.09521055,3583
-6.67461157,4171
-6.25401258,4868
-5.8334136,5632
-5.41281462,6406
-4.99221563,7283
-4.57161665,8034
-4.15101767,8774
-3.73041868,9651
-3.30981946,10656
-2.88922048,11455
-2.46862149,12090
-2.04802251,12270
-1.62742352,12061
-1.20682454,11413
-0.7862255,10262
-0.36562645,9080
0.05497254,7723
0.47557157,5993
0.89617056,4837
1.3167696,3925
1.73736858,3110
2.15796757,2441
2.57856655,1846
2.99916553,1444
3.41976476,1102
3.84036374,851
4.26096249,686
4.68156147,539
5.10216093,407
5.52275991,353
5.9433589,276
6.36395788,248
6.78455687,180
7.20515585,148
7.62575483,130
8.04635334,108
8.46695328,84
8.88755226,84
9.30815125,76
9.72875023,37
10.14934921,42
10.5699482,26
10.99054718,19
11.41114616,17
11.83174515,9
12.25234413,8
12.67294312,12
13.0935421,8
13.51414108,2
13.93474007,5
14.35533905,4
14.77593803,2
15.19653702,3
15.617136,1
16.03773499,1
16.87893295,2
