x,y
-26.05387497,1
-25.53345299,1
-25.01303101,2
-24.49260902,1
-23.97218704,1
-23.45176506,3
-22.93134308,1
-22.4109211,2
-21.89049911,3
-21.37007713,4
-20.84965515,7
-20.32923317,13
-19.80881119,19
-19.28838921,23
-18.76796722,31
-18.24754524,41
-17.72712326,46
-17.20670128,69
-16.6862793,91
-16.16585732,107
-15.64543533,140
-15.12501335,215
-14.60459137,255
-14.08416939,323
-13.56374645,374
-13.04332447,461
-12.52290249,651
-12.00248051,825
-11.48205853,1022
-10.96163654,1262
-10.44121456,1514
-9.92079258,1926
-9.4003706,2406
-8.87994862,2978
-8.35952663,3748
-7.83910465,4361
-7.31868219,5315
-6.79826021,6305
-6.27783823,7210
-5.75741625,8490
-5.23699427,9724
-4.71657228,10802
-4.1961503,12090
-3.67572808,13182
-3.1553061,13865
-2.63488412,14438
-2.1144619,14387
-1.59403992,13764
-1.07361794,13095
-0.55319583,12281
-0.03277382,11007
0.48764822,7758
1.00807023,4933
1.52849233,3519
2.04891443,2472
2.56933641,1869
3.0897584,1402
3.61018038,951
4.13060236,753
4.65102434,583
5.1714468,453
5.69186878,349
6.21229076,254
6.73271275,210
7.25313473,140
7.77355671,113
8.29397869,97
8.81440067,65
9.33482265,59
9.85524464,50
10.37566662,32
10.8960886,21
11.41651154,25
11.93693352,13
12.4573555,8
12.97777748,14
13.49819946,7
14.01862144,5
14.53904343,2
15.05946541,6
15.57988739,3
16.10030937,2
16.62073135,1
17.14115334,2
17.66157532,2
18.1819973,2
18.70241928,1
22.34537315,1
23.38621712,1
25.46790695,1
25.98832893,1
