x,y
-40.52419281,1
-39.1737709,1
-38.49856186,1
-37.82335281,1
-37.14814377,3
-36.47293091,4
-35.79772186,2
-35.12251282,6
-34.44729996,5
-33.77209091,5
-33.09688187,6
-32.42167282,8
-31.74646187,10
-31.07125092,10
-30.39604187,4
-29.72083092,8
-29.04562187,14
-28.37041092,5
-27.69520187,8
-27.01999092,14
-26.34478188,11
-25.66957092,9
-24.99436188,11
-24.31915092,13
-23.64393997,15
-22.96873093,18
-22.29351997,14
-21.61831093,13
-20.94309998,24
-20.26789093,37
-19.59267998,44
-18.91747093,56
-18.24225998,71
-17.56705093,95
-16.89183998,102
-16.21663094,176
-15.54141998,208
-14.86620998,292
-14.19099998,407
-13.51578999,603
-12.84057999,836
-12.16536999,1107
-11.49015999,1418
-10.81494999,1958
-10.13973999,2654
-9.46452999,3611
-8.78931999,4474
-8.11410904,5619
-7.43889952,6880
-6.76368952,8368
-6.08847952,10087
-5.41326904,11381
-4.73805904,12905
-4.06284904,13925
-3.38763905,14820
-2.71242905,15518
-2.03721905,15297
-1.36200893,15921
-0.68679881,18256
-0.01158878,25981
0.66362131,11129
1.33883131,4690
2.01404142,2632
2.68925142,1556
3.36446142,1097
4.03967142,698
4.71488142,508
5.3900919,327
6.0653019,271
6.74051189,178
7.41572189,133
8.09093189,97
8.76614189,83
9.44135189,43
10.11656189,33
10.79177189,30
11.46698189,17
12.14219189,12
12.81740189,20
13.49261284,11
14.16782284,9
14.84303284,7
15.51824284,7
16.19345284,3
16.86866188,2
17.54387283,4
18.21908188,1
18.89429283,3
19.56950378,2
20.24471283,1
21.59513283,1
22.27034378,1
22.94555283,2
23.62076378,1
26.99681282,1
