x,y
-272.17153931,1
-269.11541748,1
-266.05932617,1
-263.00320435,2
-253.83486938,4
-250.77876282,1
-244.66654968,1
-241.61044312,1
-235.49821472,1
-232.44210815,1
-214.10545349,3
-211.04934692,2
-207.99324036,1
-204.93713379,1
-201.88101196,1
-198.8249054,1
-195.76879883,1
-189.65658569,1
-183.5443573,2
-180.48825073,2
-174.3760376,2
-168.26382446,1
-165.20770264,2
-156.03938293,1
-149.9271698,2
-146.87104797,1
-140.75883484,1
-137.70272827,3
-134.6466217,1
-131.59051514,1
-128.53439331,1
-125.47828674,1
-122.42218018,2
-119.36607361,2
-116.30995941,1
-113.25385284,1
-110.19774628,1
-107.14163208,2
-104.08552551,1
-101.02941895,3
-97.97330475,1
-94.91719818,1
-91.86109161,1
-88.80497742,2
-85.74887085,2
-79.63665009,1
-76.58054352,1
-73.52442932,1
-70.46832275,1
-67.41221619,1
-64.35610199,1
-61.29999542,1
-58.24388885,2
-55.18777847,4
-52.13166809,7
-49.07555771,7
-46.01945114,12
-42.96334076,15
-39.90723038,9
-36.85112381,16
-33.79501343,13
-30.73890495,22
-27.68279457,25
-24.6266861,26
-21.57057762,86
-18.51446724,152
-15.45835876,441
-12.40224934,1704
-9.34613991,6532
-6.29003096,17676
-3.23392153,30124
-0.17781246,40332
2.87829685,57785
5.9344058,1962
8.99051476,719
12.04662418,289
15.10273361,177
18.15884209,112
21.21495247,41
24.27106094,33
27.32716942,8
30.3832798,1
33.43938828,1
