x,y
-5.30976582,1
-4.60266638,1
-4.46124649,2
-4.3198266,3
-4.17840672,2
-4.03698683,5
-3.8955667,5
-3.75414681,11
-3.61272693,10
-3.4713068,10
-3.32988691,19
-3.18846703,25
-3.04704714,26
-2.90562725,47
-2.76420736,55
-2.62278724,62
-2.48136735,110
-2.33994746,136
-2.19852757,186
-2.05710769,234
-1.91568768,354
-1.77426767,516
-1.63284779,720
-1.4914279,995
-1.35000789,1359
-1.208588,1951
-1.06716812,2703
-0.92574811,3835
-0.78432822,5207
-0.64290828,6924
-0.50148833,8871
-0.36006841,10921
-0.21864846,12760
-0.07722854,13505
0.06419139,13027
0.20561132,11250
0.34703127,9002
0.48845118,6697
0.62987113,4994
0.77129108,3532
0.91271096,2531
1.05413091,1822
1.1955508,1323
1.33697081,959
1.47839069,633
1.6198107,441
1.76123059,279
1.90265048,207
2.04407048,145
2.18549037,96
2.32691026,86
2.46833014,64
2.60975027,32
2.75117016,31
2.89259005,32
3.03400993,26
3.17542982,23
3.31684995,14
3.45826983,10
3.59968972,10
3.74110961,5
4.02394962,7
4.16536951,5
4.3067894,5
4.44820929,2
4.58962917,3
4.73104906,3
4.87246895,4
5.15530872,1
5.43814898,1
5.72098875,1
6.14524841,1
6.85234833,1
8.83222675,1
