x,y
-72.31231689,1
-62.35302353,1
-56.92068481,4
-54.20451355,2
-51.48834229,1
-50.58295059,1
-47.86677933,1
-46.96138763,2
-45.15060806,2
-44.24521637,2
-41.5290451,2
-40.62365723,4
-39.71826553,1
-38.81287384,1
-37.90748596,1
-37.00209427,1
-36.09670258,2
-35.1913147,3
-34.285923,1
-33.38053131,1
-32.47514343,2
-30.66436195,4
-29.75897217,2
-28.85358047,2
-27.94819069,4
-26.13740921,2
-25.23201942,1
-24.32662964,5
-23.42123795,1
-22.51584816,2
-21.61045837,2
-20.70506859,6
-19.7996769,7
-18.89428711,3
-17.98889732,3
-17.08350563,10
-16.17811584,1
-15.27272511,11
-14.36733532,11
-13.46194458,9
-12.55655384,36
-11.65116405,47
-10.74577332,64
-9.84038353,113
-8.93499279,209
-8.02960205,395
-7.12421179,712
-6.21882153,1118
-5.31343126,1821
-4.408041,3282
-3.5026505,5536
-2.59726,8887
-1.69186974,12034
-0.78647929,15882
0.11891109,16375
1.02430153,13665
1.92969179,9256
2.83508229,5276
3.74047256,2736
4.64586306,1411
5.55125332,648
6.45664358,315
7.36203432,135
8.26742458,60
9.17281532,34
10.07820511,18
10.98359585,8
11.88898563,3
12.79437637,5
13.69976711,4
14.6051569,4
15.51054764,3
16.41593742,4
17.32132912,3
18.2267189,1
