x,y
-72.77973938,1
-71.17007446,2
-70.365242,4
-69.56040955,4
-68.75558472,6
-67.95075226,6
-67.1459198,7
-66.34108734,6
-65.53626251,5
-64.73143005,7
-63.9265976,5
-63.12176514,2
-62.31693649,1
-61.51210403,2
-60.70727539,3
-59.90244293,1
-59.09761429,5
-58.29278183,5
-57.48795319,7
-56.68312073,3
-55.87828827,5
-55.07345963,3
-54.26862717,7
-53.46379852,2
-52.65896606,4
-51.85413742,11
-51.04930496,8
-50.2444725,3
-49.43964386,10
-48.6348114,10
-47.82998276,13
-47.0251503,5
-46.22032166,7
-45.4154892,13
-44.61066055,15
-43.80582809,16
-43.00099564,21
-42.19616699,27
-41.39133453,27
-40.58650589,37
-39.78167343,41
-38.97684479,46
-38.17201233,39
-37.36717987,30
-36.56235123,44
-35.75751877,57
-34.95269012,77
-34.14785767,75
-33.34302902,77
-32.53819656,92
-31.73336601,114
-30.92853546,130
-30.12370491,139
-29.31887436,155
-28.51404381,151
-27.70921135,176
-26.9043808,162
-26.09955025,178
-25.2947197,193
-24.48988914,209
-23.68505859,266
-22.88022804,308
-22.07539749,377
-21.27056503,330
-20.46573448,415
-19.66090393,531
-18.85607338,628
-18.05124283,739
-17.24641228,859
-16.44158173,992
-15.63675022,1201
-14.83191967,1348
-14.02708912,1669
-13.22225761,2028
-12.41742706,2510
-11.61259651,2842
-10.80776596,3315
-10.00293446,3943
-9.1981039,4508
-8.39327335,5349
-7.58844233,6026
-6.78361177,6771
-5.97878075,7331
-5.1739502,8341
-4.36911917,9910
-3.56428862,12287
-2.75945759,13195
-1.95462692,12198
-1.14979613,6961
-0.34496534,3448
0.45986545,2543
1.26469624,1424
2.06952715,685
2.8743577,325
3.67918873,181
4.48401928,126
5.28885031,70
6.09368086,22
6.89851189,4
7.70334244,1
