x,y
-43.20258331,2
-42.7054863,4
-42.20838928,1
-41.71128845,5
-40.21999359,1
-38.72869873,2
-38.23160172,2
-37.7345047,2
-37.23740387,2
-35.24901199,1
-33.2606163,3
-32.76351929,1
-32.26642227,1
-31.27222443,3
-30.7751255,7
-30.27802849,8
-29.78092957,10
-29.28383064,2
-28.78673363,15
-28.2896347,10
-27.79253578,16
-27.29543877,15
-26.79833984,24
-26.30124092,21
-25.80414391,23
-25.30704498,24
-24.80994606,34
-24.31284904,38
-23.81575012,34
-23.3186512,31
-22.82155228,57
-22.32445526,49
-21.82735634,69
-21.33025742,62
-20.8331604,70
-20.33606148,83
-19.83896255,76
-19.34186554,84
-18.84476662,111
-18.34766769,100
-17.85057068,132
-17.35347176,136
-16.85637283,185
-16.35927582,207
-15.8621769,201
-15.36507797,238
-14.86798,282
-14.37088203,281
-13.87378311,334
-13.37668514,402
-12.87958622,425
-12.38248825,466
-11.88539028,601
-11.38829136,652
-10.89119339,719
-10.39409542,753
-9.8969965,841
-9.39989853,1035
-8.90279961,1150
-8.40570164,1235
-7.90860319,1461
-7.41150522,1641
-6.91440678,1931
-6.41730833,2122
-5.92020988,2349
-5.42311192,2815
-4.92601347,3569
-4.42891502,4411
-3.93181682,5412
-3.43471837,7161
-2.93762016,9419
-2.44052172,11715
-1.94342351,13811
-1.44632506,14786
-0.9492268,12840
-0.45212847,9136
0.04496986,5514
0.54206818,2995
1.03916645,1610
1.5362649,836
2.0333631,461
2.53046155,208
3.02755976,107
3.5246582,41
4.02175665,29
4.51885462,20
5.01595306,5
5.51305151,3
6.01014996,2
6.50724792,2
