x,y
-64.13813782,1
-63.3466835,3
-62.55523682,1
-61.76378632,3
-60.97233582,1
-60.18088913,1
-59.38943863,3
-58.59798813,6
-57.80654144,3
-57.01509094,3
-56.22364044,5
-55.43219376,2
-54.64074326,6
-53.84929276,3
-53.05784607,2
-52.26639557,4
-51.47494507,3
-50.68349838,6
-49.89204788,6
-49.10059738,9
-48.3091507,4
-47.5177002,4
-46.72624969,2
-45.93480301,4
-45.14335251,5
-44.35190201,5
-43.56045532,4
-42.76900482,6
-41.97755432,1
-41.18610764,6
-40.39465714,5
-39.60320663,1
-38.81175995,2
-38.02030945,3
-37.22885895,4
-36.43741226,5
-35.64596176,1
-34.85451126,3
-34.06306458,5
-33.27161407,3
-32.48016357,2
-30.89726639,5
-30.10581779,2
-29.31436729,5
-28.5229187,1
-27.73147011,4
-26.94001961,6
-26.14857101,5
-25.35712051,2
-24.56567192,6
-23.77422333,5
-22.98277283,12
-22.19132423,13
-21.39987564,7
-20.60842514,11
-19.81697655,18
-19.02552795,20
-18.23407745,23
-17.44262886,35
-16.65118027,42
-15.85973072,37
-15.06828117,61
-14.27683163,93
-13.48538303,135
-12.69393349,180
-11.90248394,226
-11.11103535,332
-10.3195858,406
-9.52813625,582
-8.73668766,811
-7.94523811,1072
-7.15378857,1486
-6.3623395,1973
-5.57089043,2895
-4.77944088,4284
-3.98799181,6599
-3.1965425,10300
-2.40509319,16423
-1.613644,23736
-0.8221947,25165
-0.03074548,17084
0.7607038,8250
1.55215299,3316
2.34360218,1521
3.13505149,712
3.9265008,367
4.71794987,207
5.50939941,97
6.30084848,57
7.09229755,31
7.8837471,25
8.67519665,17
9.46664524,5
10.25809479,6
11.04954433,5
11.84099293,4
12.63244247,2
13.42389202,5
15.00679016,2
