x,y
-109.71421814,1
-107.55957794,1
-105.40493774,1
-103.25029755,4
-101.09565735,2
-98.94101715,3
-96.78637695,2
-94.63173676,4
-92.47710419,2
-90.32246399,2
-88.16782379,5
-86.01318359,5
-83.8585434,4
-81.7039032,3
-79.549263,7
-77.3946228,4
-75.23999023,5
-73.08535004,11
-70.93070984,10
-68.77606964,15
-66.62142944,11
-64.46678925,19
-62.31215286,20
-60.15751266,12
-58.00287247,15
-55.84823227,25
-53.69359589,38
-51.53895569,37
-49.38431549,47
-47.22967529,56
-45.07503891,67
-42.92039871,73
-40.76575851,112
-38.61111832,114
-36.45648193,101
-34.30184174,122
-32.14720154,136
-29.99256325,152
-27.83792305,140
-25.68328476,162
-23.52864456,224
-21.37400627,255
-19.21936607,309
-17.06472778,431
-14.91008759,572
-12.7554493,790
-10.6008091,1296
-8.44617081,2477
-6.29153109,4652
-4.13689184,9010
-1.9822526,21121
0.17238665,49453
2.32702589,25718
4.48166513,6639
6.63630438,2626
8.79094315,1129
10.94558334,611
13.10022163,336
15.25486183,212
17.40950012,148
19.56414032,129
21.71877861,112
23.87341881,87
26.0280571,74
28.1826973,47
30.33733559,51
32.49197388,35
34.64661407,31
36.80125427,33
38.95589447,33
41.11053085,20
43.26517105,14
45.41981125,16
47.57445145,9
49.72908783,10
51.88372803,8
54.03836823,11
56.19300842,5
58.34764481,4
60.502285,4
62.6569252,3
64.81156158,3
66.96620178,3
69.12084198,2
71.27548218,5
73.43012238,2
75.58476257,2
79.89403534,1
86.35795593,2
92.82187653,1
94.97651672,2
97.13114929,1
101.44042969,1
105.74971008,1
