x,y
-24.29036331,2
-23.36446381,1
-22.4385643,1
-21.97561455,1
-21.51266479,1
-20.58676529,2
-20.12381554,2
-19.66086578,3
-19.19791603,3
-18.73496628,5
-18.27201653,4
-17.80906677,3
-17.34611702,2
-16.88316536,3
-16.42021561,7
-15.95726681,3
-15.49431705,5
-15.03136635,5
-14.5684166,7
-14.10546684,14
-13.64251709,15
-13.17956734,20
-12.71661758,41
-12.25366783,36
-11.79071808,53
-11.32776737,69
-10.86481762,86
-10.40186787,95
-9.93891811,135
-9.47596836,175
-9.01301861,216
-8.55006886,275
-8.0871191,384
-7.62416887,488
-7.16121912,579
-6.69826889,784
-6.23531914,1001
-5.77236938,1172
-5.30941963,1510
-4.8464694,1848
-4.38351965,2335
-3.9205699,2863
-3.45761991,3413
-2.99467015,4165
-2.53172016,4988
-2.06877041,5890
-1.60582042,6610
-1.14287066,7357
-0.67992073,8050
-0.21697086,8549
0.24597901,8683
0.70892888,8317
1.17187881,7686
1.63482857,6908
2.09777856,6127
2.56072831,5236
3.0236783,4372
3.48662806,3624
3.94957805,3045
4.41252804,2460
4.87547779,2023
5.33842754,1592
5.8013773,1305
6.26432753,1106
6.72727728,891
7.19022703,692
7.65317678,577
8.11612701,430
8.57907677,401
9.04202652,307
9.50497627,227
9.96792603,189
10.43087578,161
10.89382648,149
11.35677624,102
11.81972599,87
12.28267574,72
12.7456255,61
13.20857525,44
13.671525,33
14.13447475,26
14.59742546,21
15.06037521,17
15.52332497,12
15.98627472,10
16.44922447,18
16.91217422,8
17.37512398,7
17.83807373,6
18.30102348,4
18.76397324,1
19.22692299,1
19.68987274,1
20.1528244,3
20.61577415,1
21.07872391,1
22.00462341,1
