x,y
-4.48456192,1
-4.21613693,1
-4.08192444,1
-3.94771218,2
-3.81349969,3
-3.67928743,6
-3.54507494,7
-3.41086245,6
-3.27664995,11
-3.1424377,9
-3.0082252,25
-2.87401271,25
-2.73980021,34
-2.60558796,41
-2.47137547,79
-2.33716297,78
-2.20295048,102
-2.06873822,161
-1.93452573,216
-1.80031323,353
-1.66610086,447
-1.53188837,629
-1.39767599,849
-1.2634635,1131
-1.12925112,1612
-0.99503863,2297
-0.86082625,3202
-0.72661376,4383
-0.59240139,6025
-0.45818892,7933
-0.32397649,9879
-0.18976405,11512
-0.05555162,12672
0.07866082,12751
0.21287325,11437
0.34708568,9910
0.48129812,7765
0.61551058,6147
0.74972296,4571
0.88393545,3341
1.01814783,2450
1.15236032,1887
1.28657269,1412
1.42078519,940
1.55499756,666
1.68921006,485
1.82342243,337
1.95763493,298
2.09184742,202
2.22605968,131
2.36027217,89
2.49448466,73
2.62869716,42
2.76290941,39
2.89712191,37
3.0313344,27
3.16554689,25
3.29975915,23
3.43397164,9
3.56818414,7
3.70239663,9
3.83660889,5
3.97082138,1
4.10503387,4
4.23924637,4
4.37345886,4
4.50767136,4
4.64188337,2
4.77609587,3
5.04452085,1
5.31294584,2
5.44715834,1
5.84979534,1
5.98400784,1
7.05770731,1
8.93668175,1
