x,y
-12.39001751,1
-11.75983524,1
-11.44474506,1
-11.12965393,1
-10.8145628,1
-10.49947262,1
-10.18438148,6
-9.86929035,6
-9.55419922,10
-9.23910904,14
-8.92401791,18
-8.60892677,22
-8.29383659,18
-7.97874546,40
-7.6636548,45
-7.34856367,57
-7.03347301,78
-6.71838236,109
-6.40329123,141
-6.08820057,215
-5.77310944,267
-5.45801878,338
-5.14292812,469
-4.82783699,579
-4.51274633,757
-4.19765568,923
-3.88256454,1216
-3.56747389,1413
-3.25238299,1704
-2.9372921,2123
-2.6222012,2498
-2.30711055,3036
-1.99201965,3345
-1.67692876,3759
-1.36183798,4075
-1.04674709,4705
-0.73165631,5187
-0.41656545,5516
-0.10147461,5988
0.21361622,5896
0.52870703,5667
0.84379792,5322
1.1588887,4945
1.47397959,4434
1.78907037,3987
2.10416126,3420
2.41925216,2956
2.73434281,2606
3.04943371,2153
3.3645246,1846
3.6796155,1450
3.99470615,1227
4.30979729,997
4.62488794,878
4.9399786,671
5.25506973,616
5.57016039,473
5.88525105,394
6.20034218,313
6.51543283,271
6.83052397,202
7.14561462,149
7.46070528,132
7.77579641,95
8.09088707,96
8.4059782,60
8.72106838,75
9.03615952,42
9.35125065,32
9.66634083,22
9.98143196,16
10.29652309,21
10.61161423,15
10.92670441,14
11.24179554,6
11.55688667,13
11.87197685,2
12.18706799,1
12.50215912,4
12.8172493,5
13.13234043,1
14.07761288,1
14.39270401,1
15.02288532,2
15.33797646,1
15.65306759,2
15.96815777,1
16.2832489,1
16.59833908,1
17.22852135,1
17.54361153,1
18.17379379,1
19.11906624,1
