x,y
-63.29270935,1
-61.70376587,3
-60.90929794,1
-60.1148262,3
-58.52588272,1
-57.73141098,2
-56.93694305,3
-56.14247131,1
-55.34799957,4
-54.55352783,2
-53.75905609,4
-52.96458817,4
-52.17011642,2
-51.37564468,3
-50.58117294,3
-49.7867012,5
-48.99222946,7
-48.19776154,5
-47.40328979,10
-46.60881805,6
-45.81434631,7
-45.01987457,3
-44.22540665,7
-43.43093491,1
-42.63646317,5
-41.84199142,6
-40.25305176,3
-39.45858002,4
-38.66410828,7
-37.86963654,6
-37.07516479,4
-36.28069305,3
-35.48622513,5
-33.89728165,4
-33.10280991,4
-32.30833817,2
-30.7193985,3
-29.92492676,4
-29.13045502,8
-28.33598518,1
-27.54151344,4
-26.7470417,5
-25.95257187,4
-25.15810013,3
-24.36363029,3
-23.56915855,4
-22.77468681,7
-21.98021698,5
-21.18574524,8
-20.3912735,4
-19.59680367,5
-18.80233192,4
-18.00786209,8
-17.21339035,6
-16.41891861,7
-15.62444782,5
-14.82997704,5
-14.03550625,8
-13.24103546,8
-12.44656372,14
-11.65209293,30
-10.85762215,26
-10.06315136,78
-9.26867962,115
-8.47420883,158
-7.67973804,241
-6.88526678,480
-6.09079599,727
-5.29632473,1208
-4.50185394,2068
-3.70738268,3387
-2.91291189,5806
-2.11844063,10890
-1.32396972,17657
-0.5294987,25148
0.26497233,25931
1.05944335,17443
1.85391438,8948
2.64838552,3858
3.44285631,1829
4.23732758,950
5.03179836,613
5.82626963,365
6.62074041,225
7.41521168,120
8.20968246,94
9.00415325,74
9.79862499,42
10.59309578,32
11.38756657,20
12.18203735,12
12.97650909,8
13.77097988,10
14.56545067,5
15.35992146,4
16.15439224,1
