x,y
-40.81633377,1
-35.27645111,3
-32.50650787,2
-29.73656845,2
-28.35159683,2
-26.96662712,1
-25.5816555,3
-24.19668388,5
-22.81171417,6
-21.42674255,11
-20.04177284,18
-18.65680122,24
-17.27183151,24
-15.88685989,50
-14.50188923,81
-13.11691856,127
-11.7319479,221
-10.34697723,326
-8.96200657,762
-7.57703543,1389
-6.19206476,2391
-4.80709362,4216
-3.42212296,7923
-2.03715229,13735
-0.65218145,20800
0.73278934,22413
2.11776018,16205
3.50273085,9371
4.88770151,5078
6.27267265,3058
7.65764332,1740
9.04261398,1085
10.42758465,706
11.81255531,459
13.19752598,284
14.5824976,214
15.96746826,153
17.35243797,120
18.73740959,85
20.12238121,57
21.50735092,43
22.89232254,34
24.27729225,30
25.66226387,15
27.04723358,14
28.4322052,19
29.81717491,15
31.20214653,23
32.58711624,16
33.97208786,11
35.35705948,13
36.7420311,14
38.1269989,3
39.51197052,3
40.89694214,10
42.28191376,1
43.66688538,5
45.05185318,5
46.4368248,1
47.82179642,3
49.20676804,3
50.59173584,3
53.36167908,1
56.13162231,1
57.51659012,1
58.90156174,1
63.05647278,2
64.4414444,1
65.82641602,2
67.21138763,2
68.59635925,2
69.98133087,1
71.36630249,2
72.75126648,3
75.52120972,2
76.90618134,3
78.29115295,3
79.67612457,1
81.06109619,2
83.83103943,1
85.21600342,2
89.37091827,2
93.52583313,1
96.29577637,1
97.68074799,1
