x,y
-23.24470139,2
-22.80311394,1
-22.36152649,3
-21.91993904,4
-21.47835159,6
-21.03676414,9
-20.5951767,6
-20.15358925,7
-19.7120018,12
-19.27041435,20
-18.8288269,25
-18.38723755,29
-17.9456501,14
-17.50406265,26
-17.0624752,30
-16.62088776,53
-16.17930031,46
-15.73771286,59
-15.29612541,94
-14.85453701,105
-14.41294956,113
-13.97136211,141
-13.52977467,173
-13.08818722,212
-12.64659882,228
-12.20501137,271
-11.76342392,366
-11.32183647,438
-10.88024902,552
-10.43866062,623
-9.99707317,699
-9.55548573,823
-9.11389828,1014
-8.67231083,1256
-8.23072338,1468
-7.78913546,1694
-7.34754753,1987
-6.90596008,2235
-6.46437263,2578
-6.02278471,2738
-5.58119726,3206
-5.13960934,3671
-4.69802189,4092
-4.25643444,4350
-3.81484675,4807
-3.37325907,4974
-2.93167138,5603
-2.49008369,5876
-2.04849625,6131
-1.60690856,6070
-1.16532087,6214
-0.72373331,5861
-0.28214565,5775
0.15944198,5392
0.60102963,5057
1.0426172,4587
1.48420489,4095
1.92579246,3671
2.36738014,3206
2.80896783,2824
3.25055528,2334
3.69214296,1984
4.13373041,1657
4.57531834,1421
5.01690578,1219
5.45849371,1058
5.90008116,800
6.34166861,706
6.78325653,623
7.22484398,505
7.66643143,394
8.10801888,318
8.54960728,320
8.99119473,258
9.43278217,190
9.87436962,191
10.31595707,164
10.75754547,120
11.19913292,99
11.64072037,66
12.08230782,52
12.52389526,42
12.96548271,42
13.40707111,32
13.84865856,26
14.29024601,17
14.73183346,7
15.17342091,13
15.61500931,7
16.05659676,4
16.4981842,7
16.93977165,4
17.3813591,3
17.82294655,6
18.264534,4
18.70612144,2
19.58929825,2
20.0308857,1
20.91406059,1
