x,y
-7.93098497,1
-7.75356054,1
-7.57613659,1
-7.39871216,1
-7.22128773,2
-6.86643934,2
-6.68901491,1
-6.51159096,2
-6.33416653,1
-6.1567421,2
-5.97931814,2
-5.80189371,3
-5.62446928,3
-5.44704533,4
-5.2696209,7
-5.09219646,4
-4.91477203,7
-4.73734808,2
-4.55992365,15
-4.38249922,19
-4.20507526,18
-4.02765083,22
-3.85022664,19
-3.67280221,38
-3.49537802,50
-3.31795382,44
-3.14052939,60
-2.9631052,92
-2.78568077,152
-2.60825658,180
-2.43083239,241
-2.25340796,279
-2.07598376,367
-1.89855945,523
-1.72113514,631
-1.54371095,910
-1.36628664,1232
-1.18886232,1658
-1.01143801,2282
-0.83401376,3029
-0.65658951,3938
-0.4791652,5203
-0.30174094,6440
-0.12431665,7855
0.05310763,9051
0.23053192,10015
0.40795618,10801
0.58538049,11022
0.76280475,10658
0.94022906,9595
1.11765337,8340
1.29507756,6608
1.47250187,5223
1.64992619,3901
1.8273505,2789
2.00477481,1907
2.182199,1256
2.35962319,757
2.53704762,530
2.71447182,365
2.89189625,217
3.06932044,156
3.24674463,104
3.42416906,70
3.60159326,47
3.77901745,31
3.95644188,18
4.13386631,14
4.31129026,12
4.48871469,14
4.66613913,7
4.84356308,6
5.02098751,1
5.19841194,6
5.55326033,4
5.73068476,1
5.90810871,2
6.08553314,1
6.440382,1
6.61780596,1
6.79523039,1
8.7468977,1
9.81144333,1
