x,y
-69.2880249,3
-68.40792084,5
-67.52780914,4
-66.64769745,5
-65.76759338,7
-64.88748169,8
-64.00737762,4
-63.12726593,10
-62.24715805,3
-61.36704636,5
-60.48693848,2
-59.6068306,2
-58.72672272,4
-57.84661484,4
-56.96650314,3
-56.08639526,5
-55.20628738,3
-54.3261795,8
-53.44606781,4
-52.56595993,5
-51.68585205,5
-50.80574417,10
-49.92563629,8
-49.0455246,9
-48.16541672,6
-47.28530884,4
-46.40520096,11
-45.52508926,9
-44.64498138,8
-43.7648735,20
-42.88476562,18
-42.00465775,20
-41.12454605,30
-40.24443817,20
-39.36433029,24
-38.48422241,25
-37.60411453,35
-36.72400284,34
-35.84389496,53
-34.96378708,56
-34.0836792,76
-33.2035675,85
-32.32345963,78
-31.44335175,97
-30.56324387,96
-29.68313408,107
-28.8030262,154
-27.92291641,134
-27.04280853,139
-26.16269875,146
-25.28259087,181
-24.40248108,170
-23.5223732,251
-22.64226532,273
-21.76215553,314
-20.88204765,356
-20.00193787,360
-19.12182999,420
-18.2417202,525
-17.36161232,628
-16.48150444,713
-15.60139465,837
-14.72128582,1030
-13.84117699,1152
-12.96106911,1476
-12.08096027,1849
-11.20085144,2278
-10.32074261,2636
-9.44063377,3289
-8.56052494,4059
-7.68041658,4939
-6.80030775,5775
-5.92019892,6853
-5.04009008,7812
-4.15998173,9414
-3.27987289,11204
-2.39976406,13306
-1.51965547,14839
-0.63954669,13618
0.24056202,9162
1.1206708,3992
2.00077939,1607
2.88088822,831
3.76099682,378
4.64110565,183
5.52121449,89
6.40132284,40
7.28143167,24
8.16154003,15
9.04164886,6
9.9217577,2
10.80186653,5
11.68197536,1
12.5620842,2
13.44219303,5
14.32230186,1
15.20240974,1
16.08251953,1
16.96262741,1
17.8427372,1
18.72284508,3
