x,y
-100.95293427,1
-96.95569611,3
-94.95708466,1
-90.95985413,3
-84.96400452,2
-82.96538544,4
-80.96676636,3
-78.96815491,1
-76.96953583,3
-74.97092438,5
-72.9723053,3
-70.97368622,5
-68.97507477,6
-66.97645569,7
-64.97783661,11
-62.97922516,10
-60.98060608,4
-58.98199081,10
-56.98337555,12
-54.98476028,10
-52.9861412,15
-50.98752594,20
-48.98891068,20
-46.99029541,30
-44.99167633,32
-42.99306107,37
-40.9944458,41
-38.99583054,61
-36.99721146,66
-34.99859619,75
-32.99998093,90
-31.00136375,76
-29.00274849,105
-27.00413132,107
-25.00551605,134
-23.00689888,162
-21.00828362,166
-19.00966644,311
-17.01105118,432
-15.01243401,645
-13.01381874,992
-11.01520157,1593
-9.0165863,2809
-7.01796961,4775
-5.01935339,7556
-3.02073717,13130
-1.02212095,26878
0.97649527,34630
2.97511148,16984
4.9737277,6988
6.97234392,3710
8.97096062,2186
10.96957588,1368
12.96819305,916
14.96680832,650
16.96542549,497
18.96404076,356
20.96265793,254
22.96127319,211
24.95989037,159
26.95850563,152
28.9571228,123
30.95573807,109
32.95435333,87
34.95297241,72
36.95158768,58
38.95020294,30
40.94881821,44
42.94743729,35
44.94605255,38
46.94466782,35
48.94328308,24
50.94190216,15
52.94051743,15
54.93913269,19
56.93774796,20
58.93636703,10
60.9349823,11
62.93359756,8
64.93221283,5
66.93083191,7
68.92944336,6
70.92806244,5
72.92668152,4
74.92529297,5
76.92391205,3
78.92253113,1
80.92114258,1
82.91976166,1
84.91837311,1
86.91699219,2
90.91422272,1
92.9128418,1
96.91007233,1
98.90869141,1
