x,y
-41.94721603,1
-40.74863434,2
-39.55004883,1
-38.95075989,2
-38.35146713,2
-37.75217819,1
-37.15288544,4
-36.5535965,3
-35.95430374,2
-35.3550148,5
-34.75572205,5
-34.15642929,11
-33.55714035,15
-32.9578476,11
-32.35855865,9
-31.7592659,8
-31.15997505,15
-30.5606842,20
-29.96139336,19
-29.36210251,28
-28.76281166,17
-28.16352081,25
-27.56422806,33
-26.96493721,26
-26.36564636,31
-25.76635551,41
-25.16706467,43
-24.56777382,64
-23.96848297,69
-23.36919212,74
-22.76989937,76
-22.17060852,92
-21.57131767,114
-20.97202682,129
-20.37273598,143
-19.77344513,149
-19.17415428,193
-18.57486343,241
-17.97557068,275
-17.37627983,345
-16.77698898,417
-16.17769814,494
-15.57840729,588
-14.97911644,705
-14.37982464,776
-13.78053379,928
-13.18124294,1075
-12.5819521,1341
-11.98266029,1620
-11.38336945,1839
-10.7840786,2217
-10.18478775,2774
-9.58549595,3295
-8.9862051,4095
-8.38691425,4691
-7.78762293,5597
-7.18833208,6691
-6.58904076,7938
-5.98974991,9020
-5.39045858,10189
-4.79116774,11284
-4.19187641,12139
-3.59258556,13151
-2.99329424,14080
-2.39400339,14594
-1.79471219,14978
-1.1954211,14388
-0.59613001,13199
0.00316107,11672
0.60245216,9149
1.20174325,6688
1.80103433,4408
2.4003253,2864
2.99961662,1850
3.59890747,1241
4.1981988,851
4.79748964,571
5.39678097,408
5.99607182,260
6.59536314,170
7.19465399,115
7.79394531,91
8.39323616,55
8.99252701,40
9.59181881,33
10.19110966,18
10.79040051,5
11.38969135,7
11.98898315,5
12.588274,4
13.7868557,1
14.3861475,1
14.98543835,3
15.58472919,1
16.184021,1
17.98189354,2
