x,y
-25.1644001,1
-24.78910446,2
-24.41381073,3
-24.03851509,1
-23.66321945,3
-23.28792572,3
-22.91263008,4
-22.53733635,4
-22.16204071,9
-21.78674698,5
-21.41145134,7
-21.0361557,11
-20.66086197,12
-20.28556633,23
-19.9102726,13
-19.53497696,27
-19.15968132,26
-18.78438759,28
-18.40909195,32
-18.03379822,49
-17.65850258,44
-17.28320885,66
-16.90791321,70
-16.53261757,78
-16.15732384,89
-15.78202915,99
-15.40673351,120
-15.03143883,130
-14.65614414,152
-14.28084946,196
-13.90555477,209
-13.53026009,233
-13.15496445,301
-12.77966976,315
-12.40437508,353
-12.02908039,422
-11.65378571,519
-11.27849102,566
-10.90319538,736
-10.5279007,755
-10.15260601,878
-9.77731133,1048
-9.40201664,1094
-9.02672195,1313
-8.65142727,1489
-8.27613163,1614
-7.90083694,1806
-7.52554226,2087
-7.15024757,2343
-6.77495289,2622
-6.39965773,2993
-6.02436304,3410
-5.64906836,3783
-5.27377319,4271
-4.89847851,4973
-4.52318382,5540
-4.14788866,6337
-3.77259398,6768
-3.39729905,7470
-3.02200437,7985
-2.64670944,8692
-2.27141476,9171
-1.89611983,10024
-1.52082503,10752
-1.1455301,11390
-0.7702353,11651
-0.3949405,11155
-0.01964565,10712
0.35564917,10157
0.73094404,10576
1.10623884,11424
1.48153365,9149
1.85682857,4721
2.23212337,3046
2.6074183,2217
2.98271298,1760
3.35800791,1267
3.73330259,935
4.10859776,678
4.48389244,515
4.85918713,358
5.23448181,269
5.60977697,207
5.98507166,164
6.36036634,117
6.73566151,84
7.11095619,73
7.48625088,45
7.86154604,28
8.23684025,21
8.61213589,13
8.98743057,13
9.36272526,7
9.73801994,1
10.11331463,10
10.48860931,1
10.86390495,7
11.23919964,4
11.61449432,4
11.98978901,1
12.36508369,2
