x,y
-20.48954773,1
-19.74510765,3
-19.00066757,4
-18.2562294,9
-17.51178932,19
-16.76734924,24
-16.02291107,41
-15.27847099,43
-14.53403091,55
-13.78959179,66
-13.04515266,98
-12.30071259,126
-11.55627346,162
-10.81183338,206
-10.06739426,289
-9.32295513,357
-8.57851505,436
-7.83407593,632
-7.08963633,813
-6.34519672,1175
-5.6007576,1625
-4.856318,2289
-4.1118784,3303
-3.36743903,4584
-2.62299943,6473
-1.87856007,8313
-1.13412046,10434
-0.38968104,13042
0.35475844,15822
1.09919786,18544
1.84363747,20953
2.58807683,11696
3.33251643,3688
4.0769558,1440
4.8213954,744
5.565835,413
6.31027412,256
7.05471373,163
7.79915333,109
8.54359245,75
9.28803253,64
10.03247166,43
10.77691078,33
11.52135086,28
12.26578999,13
13.01023006,10
13.75466919,19
14.49910831,11
15.24354839,8
15.98798752,9
16.7324276,10
17.47686577,9
18.22130585,7
18.96574593,2
19.7101841,11
20.45462418,5
21.19906425,4
21.94350433,8
22.6879425,3
23.43238258,2
24.17682266,3
24.92126083,2
25.66570091,2
26.41014099,4
27.15457916,2
27.89901924,1
28.64345932,3
29.38789749,2
30.13233757,2
33.11009598,2
34.59897614,1
35.34341431,1
36.08785248,2
36.83229446,2
39.81005096,1
41.29893112,2
42.78780746,2
43.53224945,4
44.27668762,3
45.76556778,1
46.51000595,3
47.25444412,2
50.23220444,2
50.97664261,2
53.95440292,2
