x,y
-13.57012653,1
-12.81731701,1
-12.4409132,1
-12.06450844,6
-11.68810368,7
-11.31169987,8
-10.9352951,10
-10.55889034,22
-10.18248653,12
-9.80608177,14
-9.42967701,13
-9.0532732,6
-8.67686844,9
-8.30046368,18
-7.92405987,21
-7.54765511,28
-7.17125082,37
-6.79484653,59
-6.41844177,75
-6.04203749,99
-5.6656332,108
-5.28922844,141
-4.91282415,173
-4.53641987,214
-4.16001558,282
-3.78361082,355
-3.40720654,526
-3.03080201,723
-2.65439773,927
-2.2779932,1215
-1.9015888,1602
-1.52518427,2028
-1.14877987,2532
-0.77237546,3015
-0.395971,3699
-0.01956658,4479
0.35683787,5525
0.73324227,7627
1.10964668,10551
1.4860512,13128
1.86245561,13277
2.23886013,11255
2.61526442,8957
2.99166894,7145
3.36807323,5521
3.74447775,4393
4.12088203,3519
4.4972868,2945
4.87369108,2331
5.25009537,1881
5.62650013,1438
6.00290442,1198
6.3793087,924
6.75571346,803
7.13211775,631
7.50852203,486
7.88492632,383
8.2613306,345
8.63773537,286
9.01414013,249
9.39054394,181
9.7669487,163
10.14335346,136
10.51975727,104
10.89616203,87
11.2725668,74
11.6489706,40
12.02537537,40
12.40178013,40
12.77818394,36
13.1545887,22
13.53099346,23
13.90739727,24
14.28380203,23
14.66020679,27
15.0366106,27
15.41301537,20
15.78942013,25
16.16582489,10
16.5422287,17
16.91863251,16
17.29503822,13
17.67144203,11
18.04784584,5
18.42425156,7
18.80065536,16
19.17705917,9
19.55346489,7
19.9298687,7
20.30627251,6
20.68267822,8
21.05908203,8
21.43548584,8
21.81189156,5
22.18829536,4
22.56469917,2
23.3175087,2
24.07031631,1
