x,y
-60.81609726,1
-58.99320984,1
-57.17032242,3
-56.25888062,2
-55.347435,5
-54.43599319,2
-53.52454758,5
-52.61310196,4
-51.70166016,8
-50.79021454,3
-49.87877274,7
-48.96732712,9
-48.05588531,3
-47.1444397,4
-46.23299789,5
-45.32155228,6
-44.41011047,6
-43.49866486,4
-42.58722305,4
-41.67577744,4
-40.76433563,5
-39.85289001,3
-38.9414444,2
-38.03000259,5
-37.11855698,3
-36.20711517,3
-35.29566956,6
-34.38422775,5
-33.47278214,3
-32.56134033,2
-31.64989471,4
-30.738451,9
-29.82700729,3
-28.91556358,5
-28.00411987,3
-27.09267616,7
-26.18123245,6
-25.26978874,12
-24.35834503,6
-23.44690132,2
-22.53545761,4
-21.6240139,3
-20.71257019,10
-19.80112648,4
-18.88968277,5
-17.97823906,9
-17.06679344,6
-16.15534973,10
-15.24390697,13
-14.33246326,19
-13.4210186,21
-12.50957489,41
-11.59813118,66
-10.68668747,97
-9.77524376,157
-8.86380005,257
-7.95235586,437
-7.04091215,689
-6.12946844,1055
-5.21802473,1526
-4.30658054,2375
-3.39513683,3503
-2.48369312,5870
-1.57224917,10333
-0.6608054,19611
0.25063843,29330
1.1620822,28324
2.07352614,15602
2.98496985,5448
3.8964138,1857
4.80785751,795
5.71930122,395
6.63074541,257
7.54218912,134
8.45363331,112
9.36507702,77
10.27652073,47
11.18796444,29
12.09940815,15
13.01085186,11
13.92229557,14
14.83373928,16
15.74518394,11
16.65662766,10
17.56807137,13
18.47951508,9
19.39095879,11
20.3024025,9
21.21384621,6
22.12528992,5
23.03673363,6
23.94817734,8
24.85962105,3
25.77106476,2
26.68251038,6
27.59395409,4
28.5053978,2
29.41684151,6
30.32828522,2
