x,y
-157.28434753,1
-154.76657104,3
-152.2487793,2
-149.73098755,5
-147.21321106,2
-144.69541931,3
-142.17762756,2
-139.65985107,4
-137.14205933,1
-134.62426758,1
-132.10649109,2
-129.58869934,2
-127.07091522,1
-122.03533936,1
-119.51755524,1
-116.99977112,2
-114.481987,5
-111.96419525,6
-109.44641113,4
-106.92862701,4
-104.41083527,2
-101.89305115,11
-99.37526703,9
-96.85748291,7
-94.33969116,10
-91.82190704,14
-89.30412292,14
-86.78633118,19
-84.26854706,22
-81.75076294,25
-79.23297882,31
-76.71518707,34
-74.19740295,37
-71.67961884,64
-69.16183472,75
-66.64404297,108
-64.12625885,108
-61.60847092,134
-59.0906868,176
-56.57289886,187
-54.05511475,235
-51.53732681,244
-49.01954269,306
-46.50175476,390
-43.98396683,464
-41.46618271,573
-38.94839478,640
-36.43061066,727
-33.91282272,855
-31.3950367,950
-28.87725067,1099
-26.35946465,1326
-23.84167862,1476
-21.32389259,1693
-18.80610657,2129
-16.28831863,2701
-13.77053356,3372
-11.25274658,4558
-8.73496056,6646
-6.21717453,9983
-3.69938803,14643
-1.18160188,18087
1.33618438,18569
3.85397053,13676
6.37175703,8200
8.88954353,5196
11.40732956,3170
13.92511559,2142
16.44290161,1464
18.96068764,950
21.47847366,681
23.9962616,516
26.51404762,370
29.03183365,244
31.54961967,226
34.0674057,183
36.58519363,114
39.10297775,106
41.62076569,75
44.1385498,43
46.65633774,31
49.17412186,29
51.69190979,23
54.20969772,17
56.72748184,13
59.24526978,10
61.76305389,13
64.28083801,7
66.79862976,7
69.31641388,1
71.834198,1
74.35198975,3
79.38755798,2
84.42313385,2
94.49427795,1
