x,y
-21.99564362,1
-21.57737923,4
-21.15911484,4
-20.74084854,7
-20.32258415,4
-19.90431786,10
-19.48605347,7
-19.06778908,8
-18.64952278,10
-18.23125839,7
-17.812994,16
-17.39472771,12
-16.97646332,24
-16.55819702,34
-16.13993263,41
-15.72166729,50
-15.3034029,55
-14.88513756,72
-14.46687222,103
-14.04860687,121
-13.63034248,151
-13.21207714,179
-12.7938118,204
-12.37554646,237
-11.95728207,277
-11.53901672,371
-11.12075138,421
-10.70248604,523
-10.28422165,604
-9.86595631,723
-9.44769096,828
-9.02942562,1031
-8.61116123,1228
-8.19289589,1371
-7.77463055,1615
-7.35636568,1877
-6.93810034,2116
-6.51983547,2496
-6.10157013,2779
-5.68330526,3157
-5.26503992,3595
-4.84677505,3962
-4.42850971,4300
-4.01024485,4605
-3.5919795,4872
-3.17371464,5223
-2.7554493,5467
-2.33718443,5564
-1.91891921,5666
-1.5006541,5787
-1.082389,5757
-0.66412389,5500
-0.24585879,5272
0.17240632,4964
0.59067142,4632
1.00893652,4210
1.42720163,3748
1.84546673,3285
2.26373196,2937
2.68199682,2601
3.10026217,2206
3.51852703,1947
3.93679237,1731
4.35505724,1492
4.77332258,1235
5.19158745,1141
5.60985279,895
6.02811766,820
6.446383,635
6.86464787,577
7.28291321,462
7.70117807,384
8.11944294,333
8.53770828,287
8.95597363,240
9.37423897,196
9.79250336,164
10.2107687,142
10.62903404,119
11.04729939,90
11.46556377,92
11.88382912,58
12.30209446,57
12.7203598,54
13.13862419,42
13.55688953,34
13.97515488,27
14.39342022,30
14.81168461,20
15.22994995,15
15.64821529,19
16.06648064,11
16.48474503,15
16.90301132,10
17.32127571,7
17.7395401,3
18.1578064,3
18.57607079,1
18.99433517,1
19.83086586,1
