x,y
-63.29601669,1
-62.2510376,3
-61.20606232,2
-60.16108322,1
-59.11610794,1
-58.07112885,2
-57.02615356,3
-55.98117447,1
-53.89122391,1
-52.84624481,3
-51.80126953,1
-50.75629044,3
-49.71131516,1
-48.66633606,1
-47.62136078,4
-46.57638168,6
-45.5314064,1
-44.48642731,5
-43.44145203,3
-42.39647293,6
-41.35149765,15
-40.30651855,13
-39.26154327,3
-38.21656799,16
-37.1715889,17
-36.12661362,17
-35.08163452,21
-34.03665924,33
-32.99168015,49
-31.94670296,43
-30.90172577,48
-29.85675049,47
-28.8117733,61
-27.76679611,91
-26.72181892,90
-25.67684174,114
-24.63186455,152
-23.58688736,181
-22.54191017,260
-21.49693298,343
-20.4519558,482
-19.40697861,640
-18.36200142,774
-17.31702423,1046
-16.27204704,1418
-15.22707081,1805
-14.18209362,2302
-13.13711643,2900
-12.09213924,3765
-11.04716206,4658
-10.00218487,6018
-8.95720863,7411
-7.91223097,9068
-6.86725426,10704
-5.82227707,12357
-4.77729988,14290
-3.73232293,15923
-2.68734574,16719
-1.64236879,15781
-0.59739166,13134
0.4475854,9580
1.49256253,7328
2.53753948,2937
3.58251667,1447
4.62749386,788
5.67247057,464
6.71744776,282
7.76242495,189
8.80740166,105
9.85237885,54
10.89735603,61
11.94233322,41
12.98731041,28
14.0322876,22
15.07726479,20
16.12224197,17
17.16721916,12
18.21219635,11
19.25717354,4
20.30214882,8
21.34712601,11
22.3921032,4
23.43708038,5
24.48205757,7
25.52703476,2
26.57201195,3
27.61698914,2
28.66196632,9
29.70694351,3
30.7519207,2
31.79689789,3
32.84187317,1
33.88685226,2
34.93182755,3
39.1117363,1
41.20169067,1
