x,y
-26.23757362,3
-24.87556267,12
-23.51355171,23
-22.15154076,52
-20.7895298,124
-19.42751884,221
-18.06550789,395
-16.70349693,634
-15.34148693,996
-13.97947598,1682
-12.61746502,2489
-11.25545406,3831
-9.89344406,5556
-8.53143311,8574
-7.16942215,13416
-5.80741119,19277
-4.44540024,26614
-3.08338952,34169
-1.72137856,35936
-0.35936779,26460
1.00264311,13656
2.36465383,5111
3.72666478,2010
5.0886755,704
6.45068645,307
7.81269741,159
9.17470837,116
10.53671932,58
11.89872932,27
13.26074028,17
14.62275124,3
15.98476219,6
17.34677315,4
18.7087841,5
20.07079506,4
21.43280602,7
22.79481697,8
24.15682793,2
25.51883888,7
26.88084984,3
28.24285889,4
29.60486984,4
30.9668808,4
33.69090271,2
37.77693558,4
41.86296844,1
43.2249794,2
45.94900131,1
48.67302322,5
54.12106705,3
56.84508896,3
60.93111801,3
62.29312897,1
63.65513992,1
65.01715088,2
66.37916565,1
67.74117279,1
69.10318756,1
70.4651947,1
71.82720947,3
73.18921661,2
74.55123138,3
75.91323853,1
77.2752533,1
84.08530426,1
86.80932617,1
88.17133331,3
89.53334808,4
90.89535522,2
92.25737,2
93.61937714,1
94.98139191,1
96.34339905,1
99.06742096,2
100.42943573,1
103.15345764,1
107.23948669,2
109.96350861,2
