x,y
-34.62961197,1
-33.80918884,1
-32.98876953,2
-32.16834641,1
-30.52750206,2
-29.70708084,3
-28.88665962,4
-28.0662384,5
-27.24581718,7
-26.42539597,5
-25.60497284,1
-24.78455162,5
-23.9641304,7
-23.14370918,16
-22.32328796,23
-21.50286484,36
-20.68244362,51
-19.8620224,90
-19.04160118,143
-18.22117996,190
-17.40075684,267
-16.58033562,390
-15.7599144,555
-14.93949318,727
-14.11907101,1069
-13.29864979,1438
-12.47822857,1945
-11.6578064,2452
-10.83738518,3197
-10.01696396,4321
-9.19654179,5666
-8.37612057,7154
-7.55569887,9121
-6.73527718,11325
-5.91485548,13587
-5.09443426,16142
-4.27401257,18603
-3.45359087,20282
-2.63316941,21296
-1.81274772,20565
-0.9923262,17819
-0.17190462,14451
0.64851695,10294
1.46893859,5619
2.28936005,2703
3.10978174,1468
3.9302032,787
4.75062466,427
5.57104635,264
6.39146805,157
7.21188974,103
8.03231144,53
8.85273266,37
9.67315388,30
10.49357605,23
11.31399727,11
12.13441944,11
12.95484066,11
13.77526188,11
14.59568405,10
15.41610527,9
16.23652649,2
17.05694771,5
17.87737083,2
18.69779205,4
19.51821327,3
20.33863449,1
21.15905571,3
21.97947884,1
22.79990005,2
25.26116371,4
26.90200806,2
27.72242928,3
28.54285049,5
29.36327171,3
30.18369293,1
31.00411606,3
31.82453728,1
32.6449585,2
33.46538162,2
34.28580093,1
35.10622406,3
35.92664337,4
36.7470665,3
37.56748962,1
38.38790894,1
40.02875137,2
40.8491745,1
43.31044006,1
44.9512825,1
45.77170181,1
47.41254807,1
