x,y
-34.01399231,2
-33.21969986,1
-32.42540359,1
-31.63111115,5
-30.83681679,4
-30.04252243,5
-29.24822807,5
-28.45393372,8
-27.65963936,11
-26.865345,15
-26.07105064,12
-25.27675819,21
-24.48246384,28
-23.68816948,20
-22.89387512,36
-22.09958076,39
-21.30528641,60
-20.51099205,66
-19.71669769,125
-18.92240334,169
-18.12810898,216
-17.33381653,326
-16.53952217,410
-15.74522686,627
-14.95093346,836
-14.1566391,1161
-13.36234474,1491
-12.56805038,1874
-11.77375603,2636
-10.97946262,3449
-10.18516827,4468
-9.39087391,5874
-8.59657955,7054
-7.80228567,8554
-7.00799131,10102
-6.21369696,12123
-5.41940308,13604
-4.62510872,14954
-3.8308146,15930
-3.03652048,16661
-2.24222612,16187
-1.447932,16150
-0.65363789,15905
0.14065632,18497
0.93495047,14626
1.72924471,7735
2.52353883,2112
3.31783295,1144
4.1121273,631
4.90642118,372
5.70071554,220
6.4950099,102
7.28930378,77
8.08359814,59
8.87789249,35
9.67218685,16
10.46648026,24
11.26077461,10
12.05506897,7
12.84936333,10
13.64365768,5
14.43795109,9
15.23224545,1
16.02654076,2
16.82083321,2
17.61512756,4
18.40942192,3
19.20371628,5
20.79230499,5
21.58659935,1
22.38089371,3
23.96948242,1
24.76377678,2
25.55806923,3
26.35236359,1
27.14665794,1
27.9409523,1
29.52954102,1
30.32383537,1
31.91242409,1
35.88389587,1
36.67818832,1
39.85536575,1
41.44395447,1
43.03254318,1
43.82683563,1
45.41542435,1
