x,y
-20.76720619,1
-19.96345139,5
-19.15969467,5
-18.35593987,3
-17.55218315,15
-16.74842644,18
-15.94467163,38
-15.14091587,42
-14.33715916,47
-13.5334034,85
-12.72964764,83
-11.92589188,124
-11.12213612,177
-10.31838036,256
-9.5146246,327
-8.71086884,475
-7.9071126,588
-7.10335684,848
-6.2996006,1277
-5.49584484,1820
-4.69208908,2626
-3.88833308,4075
-3.08457732,5576
-2.28082132,7832
-1.47706556,10154
-0.67330962,13243
0.13044626,18116
0.93420213,23889
1.73795795,21121
2.54171395,9310
3.34546971,3208
4.14922571,1390
4.95298147,759
5.75673723,405
6.56049347,213
7.36424923,159
8.16800499,114
8.97176075,76
9.77551651,54
10.57927227,39
11.38302898,27
12.18678474,23
12.9905405,11
13.79429626,13
14.59805202,10
15.40180779,13
16.2055645,9
17.00931931,7
17.81307602,10
18.61683083,5
19.42058754,6
20.22434235,5
21.02809906,7
21.83185577,7
22.63561058,3
23.43936729,3
24.2431221,10
25.04687881,4
25.85063362,6
26.65439034,11
27.45814705,8
28.26190186,4
29.06565857,6
29.86941338,4
30.67317009,2
31.4769249,4
32.28068161,8
33.08443832,4
33.88819504,3
34.69194794,2
36.29946136,4
37.10321808,2
37.90697098,3
38.71072769,5
39.51448441,1
40.31824112,1
41.12199783,1
42.72950745,3
44.33702087,4
45.14077377,1
45.94453049,2
46.7482872,1
47.55204391,2
48.35580063,1
49.15955353,2
49.96331024,2
50.76706696,1
51.57082367,1
52.37457657,2
53.17833328,1
54.78584671,3
55.58960342,1
57.19711304,3
58.80462646,1
59.60838318,1
