x,y
-40.44959259,1
-35.12350082,2
-33.3481369,1
-31.57277489,2
-29.79741287,1
-28.02204895,3
-26.24668694,2
-24.47132301,5
-22.695961,5
-20.92059708,6
-19.14523315,14
-17.36987114,23
-15.59450817,49
-13.8191452,101
-12.04378128,195
-10.26841831,311
-8.49305534,698
-6.71769238,1344
-4.94232941,2716
-3.1669662,5847
-1.39160323,12999
0.38375992,24918
2.15912294,26787
3.93448615,16931
5.70984936,9203
7.48521233,4834
9.26057529,2444
11.03593826,1549
12.81130123,825
14.5866642,479
16.36202812,323
18.13739014,197
19.91275406,130
21.68811607,79
23.46348,74
25.23884392,54
27.01420593,43
28.78956985,23
30.56493187,21
32.34029388,18
34.11565781,19
35.89102173,9
37.66638565,17
39.44174957,17
41.21710968,15
42.9924736,4
44.76783752,13
46.54320145,4
48.31856155,6
50.09392548,4
51.8692894,4
53.64465332,3
55.42001724,2
57.19537735,7
58.97074127,3
60.74610519,2
62.52146912,6
64.29682922,4
66.07219696,2
67.84755707,5
69.62291718,3
73.17364502,2
76.72437286,5
78.49973297,5
80.27510071,3
82.05046082,5
83.82582855,3
85.60118866,1
87.37654877,1
89.1519165,4
90.92727661,3
92.70263672,5
94.47800446,7
96.25336456,3
98.0287323,1
99.80409241,5
101.57945251,2
103.35482025,2
105.13018036,4
106.9055481,2
108.6809082,3
110.45626831,1
114.00699615,1
115.78236389,2
117.557724,1
121.10845184,1
126.43453979,1
135.31135559,1
137.0867157,1
