x,y
-116.87575531,1
-114.46918488,1
-112.06261444,2
-109.65604401,4
-107.24947357,2
-104.84290314,2
-102.4363327,1
-100.02976227,4
-97.6231842,2
-95.21661377,1
-92.81004333,8
-90.4034729,2
-87.99690247,2
-85.59033203,6
-83.1837616,8
-80.77719116,9
-78.37062073,7
-75.96405029,10
-73.55747986,14
-71.15090942,21
-68.74433899,21
-66.33776855,28
-63.93119431,33
-61.52462387,42
-59.11805344,28
-56.711483,37
-54.30491257,45
-51.89834213,46
-49.49176788,48
-47.08519745,72
-44.67862701,74
-42.27205658,91
-39.86548615,94
-37.45891571,110
-35.05234528,147
-32.64577484,133
-30.2392025,187
-27.83263206,232
-25.42605972,307
-23.01948929,359
-20.61291885,554
-18.20634842,801
-15.79977703,1083
-13.39320564,1562
-10.98663521,2280
-8.58006382,4395
-6.17349339,8640
-3.76692224,15799
-1.36035132,22763
1.04621959,25462
3.4527905,17192
5.85936165,7051
8.26593208,3138
10.67250347,1516
13.07907391,1033
15.48564529,744
17.89221573,547
20.29878616,366
22.70535851,265
25.11192894,215
27.51849937,160
29.92506981,142
32.33164215,109
34.73821259,93
37.14478302,71
39.55135345,76
41.95792389,50
44.36449432,47
46.77106857,34
49.17763901,30
51.58420944,22
53.99077988,20
56.39735031,11
58.80392075,9
61.21049118,14
63.61706161,12
66.02363586,7
68.4302063,3
70.83677673,1
73.24334717,6
75.6499176,1
78.05648804,2
80.46305847,3
82.86962891,2
87.68276978,1
90.08934021,3
94.90248871,1
97.30905914,4
99.71562958,1
104.52877045,2
106.93534088,1
109.34191132,2
111.74848175,2
116.56162262,2
121.37476349,1
123.78133392,1
