x,y
-27.42200661,3
-26.06327629,6
-24.70454597,15
-23.34581566,20
-21.98708344,48
-20.62835312,81
-19.2696228,150
-17.91089249,211
-16.55216217,356
-15.19343185,526
-13.83470058,797
-12.47597027,1214
-11.11723995,1851
-9.75850964,3030
-8.39977837,4887
-7.04104805,7824
-5.68231773,12743
-4.32358694,19509
-2.96485662,27930
-1.60612595,35517
-0.2473954,36917
1.11133516,27052
2.47006559,13013
3.82879639,5167
5.1875267,2105
6.5462575,902
7.90498781,378
9.26371861,181
10.62244892,96
11.98117924,71
13.33991051,26
14.69864082,13
16.05737114,4
17.41610146,4
18.77483177,4
20.13356209,6
21.49229431,5
22.85102463,7
24.20975494,3
25.56848526,6
26.92721558,1
28.28594589,2
29.64467621,4
31.00340652,3
32.36213684,3
35.07959747,1
36.43832779,1
37.79706192,1
39.15579224,3
41.87325287,1
43.23198318,1
45.94944382,1
47.30817413,2
48.66690445,2
50.02563477,1
52.7430954,1
54.10182571,1
55.46055603,3
59.53675079,2
60.89548111,4
62.25421143,1
63.61294174,1
66.33039856,1
69.04785919,1
70.40659332,2
71.76532745,5
73.12405396,2
77.20024872,1
78.55897522,1
79.91770935,1
81.27643585,1
85.35263062,3
86.71135712,2
89.42881775,2
90.78755188,4
92.14628601,1
93.50501251,1
94.86374664,1
96.22247314,1
97.58120728,1
98.93993378,2
101.65739441,1
105.73358917,1
107.09231567,1
108.4510498,2
