x,y
-29.12618828,1
-28.4195118,1
-27.71283531,3
-27.00615883,4
-26.29948235,2
-25.59280777,6
-24.88613129,9
-24.1794548,23
-23.47277832,23
-22.76610184,27
-22.05942535,37
-21.35274887,46
-20.64607239,50
-19.9393959,69
-19.23271942,98
-18.52604294,117
-17.81936836,147
-17.11269188,182
-16.4060154,238
-15.69933891,339
-14.99266243,357
-14.28598595,507
-13.57930946,537
-12.87263298,745
-12.16595745,901
-11.45928097,1121
-10.75260448,1406
-10.045928,1750
-9.33925152,2163
-8.63257599,2637
-7.92589903,3462
-7.21922302,4558
-6.51254654,5850
-5.80587053,7546
-5.09919405,9356
-4.39251757,11378
-3.68584132,13732
-2.97916508,15728
-2.27248883,18204
-1.56581247,19487
-0.85913622,20227
-0.15245989,20117
0.55421638,18572
1.26089275,12968
1.96756899,8050
2.67424536,4701
3.3809216,2879
4.08759785,1655
4.79427433,979
5.50095034,663
6.20762682,424
6.9143033,258
7.62097931,164
8.32765579,129
9.03433228,88
9.74100876,80
10.44768429,38
11.15436077,23
11.86103725,27
12.56771374,21
13.27439022,18
13.98106575,15
14.68774223,14
15.39441872,13
16.1010952,11
16.80777168,13
17.51444817,10
18.22112465,9
18.92780113,1
19.63447571,3
20.34115219,2
21.04782867,2
21.75450516,4
22.46118164,5
23.16785812,1
23.87453461,1
24.58121109,2
25.28788757,2
25.99456406,1
26.70124054,2
27.40791512,2
28.1145916,3
28.82126808,2
29.52794456,3
30.23462105,3
30.94129753,1
31.64797401,1
33.06132507,1
33.76800156,2
35.88803101,1
38.00806046,1
38.71473694,1
39.42141342,1
41.54144287,1
