x,y
-13.78317261,1
-12.95050621,1
-12.53417301,1
-12.11784077,6
-11.70150757,7
-11.28517437,9
-10.86884117,16
-10.45250893,18
-10.03617573,15
-9.61984253,13
-9.20350933,12
-8.78717709,7
-8.37084389,10
-7.95451069,17
-7.53817797,19
-7.12184477,26
-6.70551205,35
-6.28917885,49
-5.87284613,73
-5.45651293,90
-5.04018021,112
-4.62384701,152
-4.20751429,220
-3.79118109,365
-3.37484837,508
-2.95851517,652
-2.54218245,900
-2.12584925,1334
-1.70951641,1694
-1.29318345,2124
-0.87685049,2779
-0.46051753,3283
-0.04418457,4156
0.37214839,5488
0.78848135,7878
1.20481431,11971
1.62114727,14507
2.03748035,13633
2.45381308,10695
2.87014627,8215
3.286479,6727
3.70281219,5064
4.11914492,4159
4.53547812,3414
4.95181084,2838
5.36814404,2372
5.78447676,2138
6.20080996,1805
6.61714268,1375
7.03347588,1225
7.4498086,1055
7.8661418,909
8.28247452,693
8.69880772,571
9.11514091,483
9.53147316,402
9.94780636,360
10.36413956,285
10.78047276,240
11.196805,192
11.6131382,164
12.0294714,125
12.4458046,102
12.86213684,97
13.27847004,72
13.69480324,77
14.11113644,71
14.52746868,61
14.94380188,56
15.36013508,39
15.77646828,36
16.19280052,27
16.60913467,29
17.02546692,30
17.44179916,19
17.85813332,11
18.27446556,13
18.69079781,9
19.10713196,3
19.5234642,8
19.93979836,7
20.3561306,6
20.77246284,7
21.188797,5
21.60512924,6
22.02146149,4
22.43779564,2
22.85412788,1
23.27046204,3
23.68679428,2
24.10312653,6
24.51946068,4
24.93579292,6
25.35212517,2
25.76845932,4
26.60112572,3
27.01745796,1
27.43379021,1
27.85012436,1
