x,y
-234.51693726,1
-228.90092468,1
-195.20480347,1
-183.97277832,1
-178.35675049,2
-172.74073792,1
-167.12471008,3
-161.50869751,1
-155.89268494,2
-150.2766571,3
-144.66064453,3
-139.0446167,10
-133.42860413,2
-127.81258392,8
-122.19656372,8
-116.58055115,5
-110.96453094,10
-105.34851074,9
-99.73249054,4
-94.11647034,13
-88.50045013,19
-82.88443756,20
-77.26841736,21
-71.65239716,35
-66.03637695,52
-60.42036057,52
-54.80434036,75
-49.18832397,63
-43.57230377,137
-37.95628357,183
-32.34026718,265
-26.72424698,390
-21.10822868,656
-15.49220943,1310
-9.87619114,3265
-4.26017189,12269
1.35584664,43046
6.97186565,36259
12.58788395,14299
18.2039032,6640
23.81992149,3565
29.43593979,2022
35.05195999,1286
40.66797638,936
46.28399658,699
51.90001678,500
57.51603317,401
63.13205338,292
68.74806976,230
74.36408997,184
79.98011017,163
85.59613037,128
91.21215057,96
96.82816315,97
102.44418335,66
108.06020355,59
113.67622375,64
119.29224396,43
124.90825653,33
130.52427673,44
136.14030457,23
141.75631714,19
147.37232971,26
152.98835754,22
158.60437012,28
164.22039795,14
169.83641052,16
175.4524231,18
181.06845093,8
186.6844635,20
192.30049133,9
197.91650391,9
203.53251648,10
209.14854431,7
214.76455688,6
220.38058472,8
225.99659729,3
231.61260986,1
237.2286377,2
242.84465027,3
248.4606781,3
254.07669067,1
259.69271851,2
270.92474365,1
276.54077148,1
287.77279663,3
293.38882446,4
310.23687744,1
327.08493042,1
