x,y
-172.1892395,1
-158.52186584,2
-136.65406799,1
-131.18711853,1
-125.72016144,1
-122.98668671,2
-117.51972961,1
-114.78625488,1
-112.05278015,2
-109.31930542,3
-106.58583069,5
-103.85235596,2
-101.11888123,5
-98.38540649,8
-95.65192413,17
-92.9184494,6
-90.18497467,11
-87.45149994,8
-84.71802521,3
-81.98455048,13
-79.25107574,14
-76.51760101,18
-73.78411865,15
-71.05064392,21
-68.31716919,21
-65.58369446,19
-62.85021973,16
-60.116745,34
-57.38326645,30
-54.64979172,34
-51.91631699,48
-49.18284225,56
-46.44936371,60
-43.71588898,77
-40.98241425,81
-38.24893951,125
-35.51546097,156
-32.78198624,185
-30.04851151,241
-27.31503487,343
-24.58156013,474
-21.8480835,674
-19.11460876,970
-16.38113213,1498
-13.64765739,2411
-10.91418076,4195
-8.18070602,6955
-5.44722986,12622
-2.71375418,23435
0.01972151,48649
2.75319719,43149
5.48667288,20183
8.22014809,13547
10.95362473,9727
13.68709946,6861
16.4205761,5114
19.15405083,3837
21.88752747,2704
24.6210022,2096
27.35447884,1613
30.08795357,1178
32.82143021,896
35.55490494,703
38.28837967,535
41.02185822,396
43.75533295,262
46.48880768,171
49.22228241,134
51.95576096,87
54.68923569,57
57.42271042,39
60.15618515,27
62.8896637,23
65.62313843,10
68.35661316,12
71.09008789,8
73.82356262,5
76.55703735,2
79.29051971,3
84.75746918,1
92.95789337,1
101.1583252,1
