x,y
-50.2007637,1
-42.56635284,1
-41.61205292,1
-39.70345306,2
-37.7948494,2
-36.84054947,1
-35.88624573,1
-33.97764587,3
-32.06904221,2
-31.11474228,4
-29.20614052,3
-28.25183868,2
-27.29753685,3
-26.34323692,4
-24.43463516,1
-23.48033333,3
-22.52603149,5
-21.57173157,7
-20.61742973,5
-19.66312981,5
-18.70882797,9
-17.75452805,6
-16.80022621,9
-15.84592533,8
-14.8916235,8
-13.93732262,16
-12.98302174,21
-12.02872086,29
-11.07441998,51
-10.12011909,75
-9.16581726,117
-8.21151638,208
-7.2572155,367
-6.30291462,603
-5.34861326,1068
-4.39431238,1988
-3.44001126,3780
-2.48571014,7311
-1.53140914,12819
-0.57710803,19710
0.377193,22873
1.33149409,20362
2.28579521,14367
3.24009609,8782
4.19439745,5152
5.14869833,2998
6.10299921,1681
7.05730057,971
8.01160145,626
8.96590233,372
9.92020321,237
10.87450504,144
11.82880592,91
12.7831068,57
13.73740768,35
14.69170856,18
15.6460104,15
16.60031128,10
17.55461121,7
18.50891304,5
19.46321487,4
20.4175148,1
21.37181664,4
22.32611656,1
23.2804184,3
24.23472023,1
25.18902016,2
26.14332199,1
27.09762192,1
29.96052551,2
32.82342911,1
33.77772903,1
34.73203278,1
35.6863327,1
37.59493256,1
38.5492363,2
40.45783615,2
45.22934341,1
