x,y
-46.98521042,1
-37.28861618,1
-34.05641937,1
-29.20812225,1
-25.97592354,1
-25.16787338,1
-24.35982323,3
-21.93567467,1
-21.12762642,3
-20.31957626,4
-19.51152611,1
-18.70347786,7
-17.8954277,6
-17.08737755,3
-16.2793293,16
-15.47127914,8
-14.66322899,11
-13.85517979,15
-13.04713058,18
-12.23908043,28
-11.43103123,57
-10.62298107,77
-9.81493187,132
-9.00688267,169
-8.19883251,282
-7.39078331,432
-6.58273363,649
-5.77468395,990
-4.96663475,1556
-4.15858507,2443
-3.35053539,4174
-2.54248595,6538
-1.73443627,9905
-0.92638677,14204
-0.11833721,17290
0.68971235,17651
1.49776196,15267
2.30581141,11494
3.11386108,8190
3.92191052,5427
4.72995996,3555
5.53800964,2266
6.34605932,1467
7.154109,933
7.9621582,620
8.77020836,401
9.57825756,272
10.38630676,153
11.19435692,104
12.00240612,82
12.81045532,53
13.61850548,32
14.42655468,26
15.23460484,22
16.04265404,11
16.85070419,4
17.65875244,2
18.4668026,6
19.27485275,2
20.082901,3
20.89095116,3
21.69900131,1
23.31509972,3
24.93120003,1
27.35534859,1
30.58754539,1
31.39559555,1
33.81974411,1
