x,y
-62.71099091,1
-58.00234222,1
-53.29368973,3
-48.58504105,3
-43.87639236,12
-39.16774368,4
-34.45909119,14
-29.7504425,31
-25.04179382,61
-20.33314323,106
-15.62449455,214
-10.91584396,604
-6.20719481,2767
-1.49854517,15615
3.21010447,38849
7.9187541,26674
12.62740326,9503
17.33605385,2779
22.04470253,877
26.75335312,350
31.4620018,129
36.17065048,73
40.87930298,33
45.58795166,11
50.29660034,7
55.00524902,1
59.71390152,1
69.1312027,2
73.83985138,1
102.09174347,1
106.80039978,2
111.50904846,1
116.21769714,1
139.76094055,1
144.46958923,1
408.15396118,1
