x,y
-94.54276276,1
-89.45168304,1
-76.72397614,2
-74.17842865,2
-71.63288879,2
-69.08734894,4
-66.54180908,5
-63.99626541,5
-61.45072174,2
-58.90518188,3
-56.35963821,4
-53.81409836,7
-51.26855469,10
-48.72301483,8
-46.17747116,14
-43.6319313,14
-41.08638763,18
-38.54084778,24
-35.99530411,22
-33.44976425,28
-30.90422058,48
-28.35868073,61
-25.81313705,78
-23.2675972,98
-20.72205353,143
-18.17651367,191
-15.63097095,284
-13.08542919,440
-10.53988743,857
-7.99434566,1724
-5.4488039,4464
-2.90326214,12962
-0.35772038,30475
2.18782139,36290
4.73336315,21011
7.27890491,8425
9.82444668,3708
12.36998844,1896
14.9155302,1223
17.46107101,786
20.00661469,573
22.55215454,375
25.09769821,299
27.64323807,215
30.18878174,191
32.73432159,86
35.27986526,70
37.82540512,50
40.37094879,35
42.91648865,32
45.46203232,19
48.00757217,19
50.55311584,13
53.0986557,6
55.64419937,10
58.18973923,10
60.7352829,4
63.28082275,6
65.82636261,7
68.3719101,9
70.91744995,6
73.46298981,2
76.00852966,9
78.55407715,7
81.099617,4
83.64515686,3
86.19069672,3
88.7362442,6
91.28178406,2
96.37286377,1
98.91841125,3
101.46395111,1
104.00949097,1
106.55503082,3
109.10057831,1
111.64611816,1
114.19165802,2
116.73719788,3
124.37382507,2
126.91936493,2
129.46490479,2
134.55599976,2
137.10153198,1
139.64707947,1
147.28370667,1
152.37478638,1
160.01141357,1
