x,y
-72.57293701,1
-67.59239197,1
-65.9322052,3
-62.61184311,2
-60.95166016,3
-59.2914772,2
-57.63129425,4
-54.31092834,5
-52.65074539,4
-50.99056244,5
-49.33037949,6
-47.67019653,10
-46.01001358,8
-44.34983063,4
-42.68964767,18
-41.02946472,20
-39.36928177,19
-37.70909882,34
-36.04891586,35
-34.38873291,53
-32.72854996,66
-31.06836891,102
-29.40818596,100
-27.74800301,146
-26.08782005,165
-24.4276371,219
-22.76745415,282
-21.10727119,365
-19.44708824,495
-17.78690529,657
-16.12672234,782
-14.46653938,1093
-12.80635738,1456
-11.14617443,1911
-9.48599148,2534
-7.82580853,3333
-6.16562557,4263
-4.50544262,5650
-2.8452599,7271
-1.18507719,8545
0.4751057,9601
2.13528848,9793
3.79547143,9575
5.45565414,8931
7.1158371,8027
8.77602005,7048
10.436203,5970
12.09638596,5198
13.75656796,4477
15.41675091,3746
17.07693481,3163
18.73711777,2695
20.39729881,2234
22.05748177,1852
23.71766472,1557
25.37784767,1266
27.03803062,1076
28.69821358,851
30.35839653,706
32.01858139,582
33.67876053,508
35.33894348,332
36.99912643,303
38.65930939,239
40.31949234,195
41.97967529,159
43.63985825,132
45.3000412,86
46.96022415,67
48.6204071,58
50.28059006,41
51.94077301,33
53.60095596,39
55.26113892,23
56.92132187,18
58.58150482,13
60.24168777,11
61.90187073,10
63.56205368,5
65.22223663,3
66.88241577,3
68.54260254,3
70.20278168,2
73.52314758,2
75.18333435,1
76.84351349,1
78.50370026,2
81.82406616,1
85.14443207,1
93.44534302,1
