x,y
-163.42611694,1
-142.06147766,1
-139.68762207,1
-137.31376648,3
-134.93992615,1
-132.56607056,1
-130.19223022,2
-125.44452667,1
-123.07067871,3
-120.69683075,2
-118.32297516,1
-115.9491272,4
-113.57527924,4
-111.20143127,3
-108.82758331,3
-106.45373535,2
-104.07988739,6
-101.7060318,4
-99.33218384,6
-96.95833588,9
-94.58448792,5
-92.21063995,5
-89.83679199,5
-87.4629364,9
-85.08908844,10
-82.71524048,7
-80.34139252,7
-77.96754456,7
-75.59369659,21
-73.219841,16
-70.84599304,15
-68.47214508,17
-66.09829712,29
-63.72444916,14
-61.35059738,27
-58.97674942,33
-56.60290146,32
-54.22904968,33
-51.85520172,35
-49.48135376,52
-47.1075058,50
-44.73365402,68
-42.35980606,88
-39.9859581,94
-37.61210632,112
-35.23825836,160
-32.8644104,212
-30.49056053,274
-28.11671066,310
-25.74286079,461
-23.36901283,651
-20.99516296,978
-18.621315,1354
-16.24746513,2036
-13.87361622,3077
-11.49976635,4606
-9.12591743,6776
-6.75206852,10108
-4.37821913,16248
-2.00437021,26769
0.36947906,34318
2.74332809,30263
5.11717749,20704
7.4910264,15006
9.86487579,11058
12.23872471,7958
14.61257362,5878
16.98642349,4389
19.36027145,3326
21.73412132,2385
24.10797119,1640
26.48181915,1233
28.85566902,941
31.22951889,747
33.60336685,506
35.97721481,367
38.35106659,249
40.72491455,205
43.09876251,150
45.47261429,95
47.84646225,77
50.22031021,54
52.59416199,49
54.96800995,24
57.34185791,11
59.71570969,13
62.08955765,11
64.46340942,11
66.83725739,4
69.21110535,1
71.58495331,3
73.95880127,1
