x,y
-41.34359741,1
-34.25175476,1
-33.06978226,1
-31.2968235,1
-30.11484909,1
-25.97794151,1
-24.7959671,1
-23.6139946,1
-21.84103394,3
-21.25004768,1
-20.06807327,5
-19.47708702,1
-18.88610077,2
-18.29511261,1
-17.70412636,4
-17.11314011,4
-16.52215385,4
-15.93116665,4
-15.34017944,9
-14.74919224,9
-14.15820599,8
-13.56721878,11
-12.97623253,20
-12.38524532,16
-11.79425907,26
-11.20327187,24
-10.61228466,51
-10.02129841,65
-9.4303112,80
-8.83932495,128
-8.24833775,131
-7.65735102,190
-7.06636429,249
-6.47537756,326
-5.88439083,469
-5.2934041,650
-4.70241737,838
-4.11143064,1269
-3.52044368,1804
-2.92945695,2836
-2.33846998,4672
-1.74748325,7722
-1.15649652,11971
-0.56550968,16737
0.02547708,18219
0.6164639,17948
1.20745063,14552
1.79843748,9997
2.38942432,6333
2.98041105,3824
3.57139778,2320
4.16238451,1384
4.75337124,859
5.34435797,575
5.93534517,372
6.5263319,256
7.11731863,153
7.70830536,106
8.29929256,70
8.89027882,48
9.48126602,27
10.07225227,16
10.66323948,14
11.25422573,9
11.84521294,5
12.43619919,4
13.02718639,4
14.20915985,3
14.80014706,1
15.39113331,1
17.75508118,1
