x,y
-65.37774658,1
-55.5995903,2
-52.34020996,1
-49.08082581,2
-45.82144165,4
-44.19174957,2
-42.5620575,7
-40.93236542,9
-39.30267334,6
-37.67298126,4
-36.04328918,6
-34.41359711,13
-32.78390503,18
-31.15421486,16
-29.52452278,34
-27.8948307,32
-26.26513863,41
-24.63544655,60
-23.00575447,89
-21.37606239,130
-19.74637222,189
-18.11668015,268
-16.48698807,332
-14.85729599,498
-13.22760391,705
-11.59791183,1042
-9.96822071,1410
-8.33852863,1960
-6.70883656,2713
-5.07914495,3537
-3.44945288,4618
-1.81976116,5659
-0.19006932,6572
1.43962252,7380
3.06931448,7663
4.69900608,7671
6.32869816,7405
7.95838976,6735
9.58808136,5931
11.21777344,5372
12.84746552,4473
14.47715759,3829
16.10684967,3025
17.73654175,2399
19.36623192,1839
20.995924,1428
22.62561607,1113
24.25530815,843
25.88500023,589
27.51469231,371
29.14438438,313
30.77407646,203
32.40376663,131
34.03345871,77
35.66315079,62
37.29284286,32
38.92253494,33
40.55222702,22
42.1819191,13
43.81161118,6
45.44130325,8
47.07099533,8
48.70068741,4
50.33037949,3
51.96006775,4
55.2194519,3
56.84914398,1
58.47883606,1
60.10852814,1
61.73822021,1
63.36791229,1
66.62729645,1
68.25698853,1
69.8866806,1
71.51637268,1
73.14606476,1
78.03514099,1
79.66483307,1
87.81329346,1
95.96174622,2
97.59143829,1
