x,y
-142.64637756,1
-122.51473999,1
-117.02429199,1
-111.53384399,1
-109.7036972,2
-107.87355042,1
-106.043396,2
-104.21324921,1
-102.38310242,1
-100.55295563,2
-98.72280121,1
-91.40220642,2
-89.57205963,3
-87.74191284,4
-85.91176605,1
-84.08161163,1
-82.25146484,5
-80.42131805,4
-78.59117126,8
-76.76101685,5
-74.93087006,7
-73.10072327,6
-71.27057648,14
-69.44042206,19
-67.61027527,14
-65.78012848,8
-63.94997787,15
-62.11983109,11
-60.28968048,17
-58.45953369,15
-56.62938309,21
-54.7992363,31
-52.96908569,22
-51.1389389,27
-49.3087883,29
-47.47864151,28
-45.64849091,48
-43.81834412,45
-41.98819351,36
-40.15804672,40
-38.32789612,54
-36.49774933,54
-34.66759872,89
-32.83745193,80
-31.00730133,77
-29.17715454,121
-27.34700394,132
-25.51685715,153
-23.68670654,185
-21.85655975,211
-20.02640915,268
-18.19626236,311
-16.36611176,474
-14.53596401,619
-12.70581532,852
-10.87566662,1289
-9.04551792,2177
-7.21536922,3794
-5.38522053,6984
-3.55507183,12996
-1.72492313,23330
0.10522556,29992
1.93537426,23253
3.76552296,11488
5.59567165,4303
7.42582035,1461
9.25596905,520
11.08611774,230
12.91626644,104
14.74641514,43
16.57656479,35
18.40671158,17
20.23686218,14
22.06700897,8
23.89715958,7
25.72730637,1
27.55745697,3
31.21775436,5
33.04790115,5
34.87805176,2
36.70819855,2
40.36849594,1
