x,y
-253.118927,1
-225.95610046,1
-216.90182495,1
-207.84754944,1
-198.79327393,3
-189.73899841,4
-180.68473816,7
-171.63046265,4
-162.57618713,14
-153.52191162,9
-144.46763611,22
-135.4133606,29
-126.35909271,41
-117.3048172,61
-108.25054169,84
-99.19626617,95
-90.14199829,139
-81.08772278,221
-72.03344727,264
-62.97917557,435
-53.92490005,653
-44.87062836,1035
-35.81635284,1718
-26.76208115,3064
-17.70780563,5705
-8.65353298,10421
0.40074062,17022
9.45501423,19802
18.50928879,17692
27.56356049,13953
36.617836,10067
45.6721077,7068
54.72638321,5084
63.78065491,3577
72.83493042,2575
81.88920593,1979
90.94347382,1426
99.99774933,1156
109.05202484,878
118.10630035,716
127.16056824,592
136.21484375,464
145.26911926,381
154.32339478,308
163.37767029,261
172.4319458,225
181.48620605,186
190.54048157,158
199.59475708,114
208.64903259,121
217.70330811,74
226.75758362,73
235.81185913,53
244.86613464,52
253.9203949,48
262.97467041,32
272.02896118,30
281.08322144,17
290.13748169,24
299.19177246,12
308.24603271,5
317.30032349,10
326.35458374,6
335.40887451,7
344.46313477,4
353.51742554,5
362.57168579,3
371.62594604,5
380.68023682,3
398.78878784,5
407.8430481,4
416.89733887,1
435.00585938,2
444.06015015,1
453.1144104,1
462.16870117,1
471.22296143,1
489.33151245,2
507.44006348,1
525.54858398,1
652.30841064,1
