x,y
-165.61431885,1
-155.98313904,1
-139.93119812,1
-130.30001831,1
-127.08963013,1
-123.87924194,2
-120.66884613,3
-117.45845795,1
-114.24806976,1
-111.03768158,4
-107.82728577,2
-104.61689758,10
-101.4065094,5
-98.19611359,7
-94.9857254,11
-91.77533722,10
-88.56494141,10
-85.35455322,17
-82.14416504,13
-78.93376923,22
-75.72338104,23
-72.51299286,38
-69.30259705,39
-66.09220886,63
-62.88182068,77
-59.67142868,100
-56.46103668,118
-53.2506485,181
-50.0402565,238
-46.82986832,249
-43.61947632,389
-40.40908432,547
-37.19869614,714
-33.98830414,930
-30.77791405,1256
-27.56752396,1674
-24.35713196,2222
-21.14674187,2887
-17.93635178,3688
-14.72596073,4572
-11.51557064,5436
-8.3051796,6406
-5.09478951,7600
-1.8843987,8120
1.32599187,8702
4.53638268,8933
7.74677277,8779
10.95716381,8450
14.1675539,7580
17.37794495,6942
20.58833504,6138
23.79872513,5272
27.00911713,4382
30.21950722,3660
33.42989731,2941
36.64028931,2457
39.85067749,1988
43.06106949,1510
46.27146149,1193
49.48184967,918
52.69224167,677
55.90262985,552
59.11302185,394
62.32341385,297
65.53380585,208
68.74419403,174
71.95458221,122
75.16497803,97
78.37536621,75
81.58575439,45
84.79615021,30
88.00653839,22
91.21692657,19
94.42731476,12
97.63771057,10
100.84809875,9
104.05848694,7
107.26888275,9
113.68965912,3
116.90005493,6
120.11044312,6
123.3208313,1
126.53122711,2
129.74160767,2
136.16239929,1
139.37278748,1
142.58317566,2
145.79356384,1
149.00395203,1
155.42474365,1
