x,y
-150.4745636,1
-137.38014221,1
-117.73851776,2
-111.1913147,3
-107.91770935,2
-104.644104,4
-101.37049866,5
-98.09690094,5
-94.82329559,3
-91.54969025,3
-88.2760849,6
-85.00247955,8
-81.72888184,9
-78.45527649,5
-75.18167114,13
-71.9080658,21
-68.63446808,16
-65.36086273,32
-62.08725739,34
-58.81365204,53
-55.54005051,72
-52.26644516,115
-48.99284363,155
-45.71923828,245
-42.44563675,319
-39.1720314,483
-35.89842987,696
-32.62482452,1118
-29.35122108,1632
-26.07761765,2337
-22.80401421,3519
-19.53040886,5029
-16.25680542,7299
-12.98320198,9816
-9.70959854,13147
-6.4359951,16962
-3.16239119,19513
0.11121237,21102
3.38481617,20124
6.65841961,18192
9.93202305,15533
13.20562744,12739
16.47923088,10354
19.75283432,8023
23.02643776,6483
26.3000412,5058
29.57364464,3846
32.84724808,2959
36.12085342,2355
39.39445496,1725
42.6680603,1301
45.94166565,1061
49.21526718,814
52.48887253,630
55.76247406,446
59.03607941,378
62.30968094,261
65.58328247,221
68.85688782,164
72.13049316,117
75.40409851,90
78.67770386,62
81.95130157,49
85.22490692,39
88.49851227,31
91.77211761,27
95.04571533,18
98.31932068,7
101.59292603,9
104.86653137,8
108.14013672,5
111.41373444,3
114.68733978,7
117.96094513,4
121.23455048,3
124.50815582,2
127.78175354,2
131.05535889,1
134.32896423,1
144.14978027,1
147.42337036,1
150.69697571,1
153.97058105,2
176.88581848,1
