x,y
-89.11896515,1
-85.26980591,2
-83.3452301,1
-79.49607086,2
-71.79776001,1
-69.87317657,4
-66.02402496,3
-64.09944153,1
-62.17486572,2
-60.2502861,3
-58.32570648,4
-56.40112686,10
-54.47655106,8
-52.55197144,7
-50.62739182,8
-48.70281601,14
-46.77823639,19
-44.85365677,17
-42.92907715,23
-41.00450134,48
-39.07992172,32
-37.1553421,50
-35.2307663,79
-33.30618668,99
-31.38160706,102
-29.45702934,156
-27.53244972,198
-25.60787201,303
-23.68329239,376
-21.75871468,515
-19.83413696,742
-17.90955734,1012
-15.98497868,1410
-14.06040001,2058
-12.1358223,3050
-10.21124363,4442
-8.28666496,6431
-6.3620863,8866
-4.43750763,11524
-2.5129292,13405
-0.58835059,14142
1.33622789,12617
3.26080656,10170
5.18538523,7448
7.10996342,5621
9.03454208,4423
10.95912075,3458
12.88369942,2780
14.80827808,2364
16.73285675,1883
18.65743446,1446
20.58201408,1155
22.5065918,945
24.43117142,795
26.35574913,610
28.28032684,494
30.20490646,381
32.12948608,276
34.05406189,294
35.97864151,194
37.90322113,158
39.82780075,134
41.75237656,116
43.67695618,91
45.6015358,67
47.5261116,70
49.45069122,51
51.37527084,41
53.29985046,44
55.22442627,33
57.14900589,20
59.07358551,17
60.99816132,12
62.92274094,15
64.84732056,9
66.77189636,11
68.6964798,4
70.6210556,6
72.54563141,3
78.31936646,4
80.24394989,2
84.09310913,2
86.01768494,1
89.86684418,2
99.48973083,1
101.41431427,1
103.33889008,1
