x,y
-57.47624588,1
-54.48774719,6
-51.4992485,2
-48.51074982,5
-45.52225113,15
-42.53375244,18
-39.54525375,38
-36.55675507,44
-33.56826019,75
-30.5797596,143
-27.59126282,231
-24.60276413,413
-21.61426544,718
-18.62576675,1240
-15.63726902,2158
-12.64877129,3831
-9.6602726,6310
-6.67177486,9916
-3.68327641,13453
-0.6947782,16260
2.29372001,16129
5.28221798,13200
8.27071667,10242
11.2592144,7429
14.24771309,5368
17.23621178,4099
20.22470856,3076
23.21320724,2394
26.20170593,1967
29.19020462,1460
32.17870331,1186
35.167202,963
38.15569687,749
41.14419556,658
44.13269424,544
47.12119293,444
50.10969162,321
53.09819031,274
56.086689,244
59.07518768,219
62.06368256,180
65.05218506,114
68.04067993,106
71.02918243,105
74.01767731,81
77.00617218,64
79.99467468,75
82.98316956,47
85.97167206,40
88.96016693,50
91.94866943,51
94.93716431,22
97.92565918,31
100.91416168,29
103.90265656,20
106.89115906,27
109.87965393,23
112.86815643,23
115.85665131,14
118.84515381,18
121.83364868,8
124.82214355,3
127.81064606,9
130.79914856,11
133.78764343,7
136.77613831,14
139.76463318,4
142.75314331,6
145.74163818,4
148.73013306,5
151.71862793,2
154.7071228,5
157.69563293,3
160.68412781,2
163.67262268,4
166.66111755,2
169.64961243,2
172.63812256,5
175.62661743,1
178.6151123,2
181.60360718,1
184.59211731,1
190.56910706,3
196.5460968,2
199.53460693,3
205.51159668,1
211.48860168,1
214.47709656,1
217.46559143,2
220.4540863,1
223.44258118,2
232.40808105,1
241.37358093,2
