x,y
-54.34148788,2
-52.28905487,2
-50.23662186,3
-48.18418884,1
-46.13175964,10
-44.07932663,4
-42.02689362,17
-39.9744606,25
-37.9220314,20
-35.86959839,37
-33.81716537,76
-31.76473427,98
-29.71230125,138
-27.65987015,223
-25.60743713,335
-23.55500603,463
-21.50257301,691
-19.45014191,1140
-17.39770889,1615
-15.34527779,2415
-13.29284477,3437
-11.24041367,4782
-9.18798065,6445
-7.13554907,8321
-5.08311701,10365
-3.03068495,12321
-0.97825289,13169
1.07417917,12847
3.12661123,11331
5.17904329,9352
7.23147535,7311
9.28390694,5070
11.33633995,3648
13.38877106,2583
15.44120407,1746
17.49363518,1296
19.54606819,960
21.5984993,716
23.65093231,574
25.70336342,404
27.75579643,347
29.80822754,270
31.86066055,268
33.91309357,204
35.96552277,147
38.01795578,136
40.07038879,128
42.12282181,95
44.17525101,96
46.22768402,69
48.28011703,74
50.33255005,49
52.38497925,53
54.43741226,49
56.48984528,32
58.54227829,26
60.59470749,27
62.6471405,34
64.6995697,22
66.75200653,20
68.80443573,9
70.85687256,21
72.90930176,9
74.96173096,16
77.01416779,7
79.06659698,11
81.11902618,14
83.17146301,9
85.22389221,6
87.27632904,8
89.32875824,3
91.38118744,6
93.43362427,2
95.48605347,2
99.59091949,4
101.64334869,1
103.69578552,2
105.74821472,1
107.80064392,1
109.85308075,2
111.90550995,2
120.115242,1
128.32496643,2
136.53469849,1
138.58712769,1
150.90171814,1
