x,y
-222.16841125,1
-216.01989746,1
-197.5743866,1
-185.27737427,3
-179.12886047,1
-172.98036194,2
-166.83184814,1
-160.68334961,1
-154.53483582,3
-148.38633728,1
-142.23782349,6
-136.08932495,5
-129.94081116,5
-123.79231262,10
-117.64379883,9
-111.49530029,10
-105.3467865,14
-99.19828796,13
-93.04977417,30
-86.90127563,38
-80.75276184,49
-74.60426331,58
-68.45574951,68
-62.30724716,122
-56.158741,161
-50.01023483,226
-43.86172867,309
-37.7132225,520
-31.56471634,766
-25.41621017,1354
-19.26770401,2293
-13.11919785,4993
-6.97069168,12055
-0.82218552,25734
5.32632065,28983
11.47482681,16969
17.62333298,9959
23.77183914,6706
29.92034531,4909
36.06885147,3736
42.21735764,2599
48.3658638,1968
54.51436996,1333
60.66287613,1002
66.81138611,708
72.95988464,549
79.10839844,381
85.25689697,324
91.40541077,224
97.5539093,183
103.7024231,155
109.85092163,125
115.99943542,102
122.14793396,73
128.29644775,65
134.44494629,47
140.59346008,45
146.74195862,42
152.89047241,38
159.03897095,24
165.18748474,19
171.33598328,24
177.48449707,25
183.63299561,22
189.7815094,20
195.93000793,13
202.07852173,11
208.22702026,7
214.37553406,5
220.52403259,11
226.67254639,2
232.82104492,7
238.96955872,3
245.11805725,5
251.26657104,6
257.41506958,3
263.56356812,2
269.71209717,5
275.8605957,1
282.00909424,4
288.15759277,3
294.30612183,1
312.75161743,2
318.90014648,1
325.04864502,1
331.19714355,1
337.34564209,1
343.49417114,1
368.0881958,1
374.23669434,1
392.68222046,1
