x,y
-437.5569458,1
-401.77255249,1
-357.04202271,1
-222.8505249,1
-204.95831299,1
-196.01222229,2
-187.06611633,6
-178.12001038,10
-169.17391968,5
-160.22781372,7
-151.28170776,5
-142.33560181,21
-133.38951111,19
-124.44340515,28
-115.49730682,24
-106.55120087,42
-97.60510254,51
-88.65900421,65
-79.71289825,98
-70.76679993,121
-61.82069778,157
-52.87459564,309
-43.92849731,434
-34.98239517,793
-26.03629303,1667
-17.09019279,3959
-8.14409065,10409
0.80201006,24690
9.74811172,27726
18.69421196,18269
27.6403141,11300
36.58641434,6834
45.53251648,3916
54.47861862,2327
63.42471695,1395
72.37081909,967
81.31691742,616
90.26302338,408
99.2091217,303
108.15522766,240
117.10132599,205
126.04742432,141
134.99353027,105
143.93963623,92
152.88572693,82
161.83183289,53
170.77793884,37
179.72402954,36
188.6701355,35
197.61624146,30
206.56233215,26
215.50843811,12
224.45454407,8
233.40063477,13
242.34674072,14
251.29284668,5
260.23895264,7
269.18505859,5
278.13113403,3
287.07723999,4
296.02334595,3
304.9694519,2
313.91555786,1
331.80773926,2
340.75384521,2
349.69995117,1
358.64605713,1
430.21487427,1
448.10705566,1
457.05316162,1
