x,y
-243.97485352,1
-226.56860352,1
-209.16235352,1
-200.45922852,1
-191.75610352,3
-183.05297852,9
-174.34983826,2
-165.64671326,8
-156.94358826,7
-148.24046326,24
-139.53733826,20
-130.83421326,37
-122.13108826,48
-113.42796326,68
-104.72483826,73
-96.02171326,100
-87.31858826,155
-78.61546326,216
-69.91233063,283
-61.20920944,429
-52.50608063,614
-43.80295563,1001
-35.09983063,1662
-26.39670372,2927
-17.69357872,5240
-8.99045181,9782
-0.28732634,16152
8.41580009,19864
17.11892509,18054
25.822052,14394
34.525177,10705
43.228302,7387
51.93143082,5232
60.63455582,3670
69.33768463,2612
78.04080963,1930
86.74393463,1429
95.44705963,1139
104.15018463,920
112.85330963,765
121.55643463,552
130.25956726,501
138.96269226,367
147.66581726,308
156.36894226,291
165.07206726,227
173.77519226,178
182.47831726,175
191.18144226,129
199.88456726,81
208.58769226,104
217.29081726,78
225.99394226,60
234.69706726,46
243.40020752,50
252.10333252,38
260.80645752,24
269.50958252,26
278.21270752,17
286.91583252,20
295.61895752,10
304.32208252,6
313.02520752,6
321.72833252,5
330.43145752,5
339.13458252,3
347.83770752,7
356.54083252,7
365.24395752,3
373.94708252,3
382.65020752,2
391.35333252,1
400.05645752,4
408.75958252,1
417.46270752,1
426.16583252,1
443.57208252,2
452.27523804,1
460.97836304,1
469.68148804,2
487.08773804,2
495.79086304,1
626.33776855,1
