x,y
-162.37904358,1
-138.28869629,2
-135.27740479,2
-132.26611328,3
-120.22094727,1
-114.19836426,2
-111.18707275,2
-108.17578125,6
-105.16448975,1
-102.15319061,4
-99.14189911,8
-96.1306076,6
-93.1193161,8
-90.1080246,12
-87.09673309,10
-84.08544159,10
-81.07415009,12
-78.06285095,14
-75.05155945,22
-72.04026794,22
-69.02897644,30
-66.01768494,39
-63.00639343,45
-59.99509811,85
-56.98380661,101
-53.97251511,93
-50.9612236,147
-47.94992828,215
-44.93863678,229
-41.92734528,312
-38.91605377,408
-35.90475845,554
-32.89346695,802
-29.88217545,1053
-26.87088203,1349
-23.85959053,1777
-20.84829712,2443
-17.83700562,2882
-14.8257122,3714
-11.8144207,4662
-8.80312729,5692
-5.79183531,6611
-2.78054285,7367
0.23074961,8009
3.24204206,8472
6.25333452,8624
9.26462746,8701
12.27591896,8022
15.28721237,7598
18.29850388,6832
21.30979729,5949
24.32108879,5198
27.3323822,4393
30.34367371,3646
33.35496521,2999
36.36626053,2471
39.37755203,2027
42.38884354,1498
45.40013504,1200
48.41143036,968
51.42272186,755
54.43401337,575
57.44530487,388
60.45660019,293
63.46789169,253
66.47918701,168
69.49047852,123
72.50177002,89
75.51306152,88
78.52435303,66
81.53564453,37
84.54693604,20
87.55822754,20
90.56952667,18
93.58081818,10
96.59210968,7
99.60340118,10
102.61469269,8
105.62598419,3
108.6372757,2
111.6485672,2
114.65986633,3
117.67115784,1
120.68244934,3
123.69374084,1
126.70503235,2
129.71632385,1
138.75019836,1
