x,y
-156.50976563,1
-133.99128723,1
-130.23820496,1
-122.73205566,1
-115.22589111,2
-111.47281647,2
-107.71973419,1
-103.96665192,4
-100.21357727,6
-96.460495,6
-92.70742035,5
-88.95433807,4
-85.2012558,9
-81.44818115,12
-77.69509888,14
-73.9420166,18
-70.18894196,21
-66.43585968,31
-62.68278122,44
-58.92970276,60
-55.1766243,84
-51.42354202,134
-47.67046356,207
-43.9173851,332
-40.16430664,531
-36.41122437,829
-32.6581459,1356
-28.90506744,2063
-25.15198708,3134
-21.39890862,4888
-17.64582825,7507
-13.89274979,11020
-10.13966942,15503
-6.38659048,20451
-2.63351107,24006
1.11956835,24720
4.87264776,22477
8.6257267,18665
12.37880707,14894
16.13188553,11428
19.8849659,8633
23.63804436,6526
27.39112473,4738
31.14420319,3551
34.89728165,2565
38.65036392,1788
42.40344238,1271
46.15652084,910
49.9095993,664
53.66268158,521
57.41576004,345
61.1688385,229
64.92192078,181
68.67499542,125
72.4280777,101
76.18115997,70
79.93423462,51
83.68731689,37
87.44039154,36
91.19347382,26
94.94655609,17
98.69963074,24
102.45271301,6
106.20579529,10
109.95886993,9
113.71195221,6
117.46502686,2
121.21810913,2
124.97119141,5
128.72427368,3
143.73658752,2
147.4896698,1
151.24275208,3
162.50198364,1
170.00814819,1
173.76121521,1
218.798172,1
