x,y
-121.48279572,1
-109.10173035,1
-106.6255188,1
-99.19688416,1
-96.72067261,1
-94.24446106,6
-91.76824951,6
-89.29203796,7
-86.81582642,2
-84.33961487,10
-81.86339569,6
-79.38718414,13
-76.9109726,16
-74.43476105,21
-71.9585495,29
-69.48233795,27
-67.0061264,35
-64.52991486,39
-62.05369949,57
-59.57748795,67
-57.1012764,92
-54.62506485,122
-52.1488533,162
-49.67263794,187
-47.19642639,247
-44.72021484,359
-42.2440033,420
-39.76779175,587
-37.2915802,748
-34.81536484,980
-32.33915329,1294
-29.86294174,1769
-27.38673019,2193
-24.91051674,3032
-22.43430519,3873
-19.95809174,5070
-17.48188019,6571
-15.00566769,8274
-12.52945614,10183
-10.05324364,12344
-7.57703114,14433
-5.10081911,16538
-2.62460661,17375
-0.14839447,17453
2.32781792,18631
4.80402994,13770
7.28024244,11820
9.75645447,9499
12.23266697,7667
14.70887947,6177
17.18509102,4793
19.66130447,3692
22.13751602,2959
24.61372757,2299
27.08994102,1833
29.56615257,1441
32.04236603,1083
34.51857758,846
36.99478912,674
39.47100067,580
41.94721222,433
44.42342758,358
46.89963913,289
49.37585068,260
51.85206223,158
54.32827377,141
56.80448914,121
59.28070068,92
61.75691223,71
64.23312378,70
66.70933533,54
69.18554688,44
71.66175842,43
74.13796997,24
76.61418915,21
79.0904007,15
81.56661224,15
84.04282379,12
86.51903534,12
88.99524689,3
91.47145844,6
93.94766998,6
96.42388153,4
98.90009308,3
101.37630463,2
103.8525238,1
106.32873535,1
111.28115845,1
113.75737,2
126.13842773,1
