x,y
-147.81794739,1
-144.39115906,1
-137.53756714,1
-127.25720215,2
-120.40361786,3
-116.97682953,5
-113.55003357,4
-110.12324524,7
-106.69645691,3
-103.26966095,7
-99.84287262,3
-96.41608429,11
-92.98928833,16
-89.5625,25
-86.13571167,22
-82.70891571,36
-79.28212738,53
-75.85533905,53
-72.42854309,69
-69.00175476,94
-65.57496643,133
-62.14817047,180
-58.72138214,245
-55.29459,294
-51.86779785,428
-48.44100952,557
-45.01421738,830
-41.58742523,1186
-38.1606369,1586
-34.73384476,2255
-31.30705452,3146
-27.88026237,4200
-24.45347214,5805
-21.02667999,7664
-17.59988976,10392
-14.17309856,14001
-10.74630833,18109
-7.31951714,22967
-3.89272594,26169
-0.46593511,25857
2.96085596,25460
6.38764668,14571
9.81443787,9597
13.24122906,6628
16.66802025,4402
20.09481049,2975
23.52160072,2030
26.94839287,1392
30.37518311,948
33.80197525,703
37.22876358,463
40.65555573,319
44.08234787,224
47.50914001,182
50.93592834,126
54.36272049,91
57.78951263,77
61.21630096,63
64.64308929,38
68.06988525,35
71.49667358,24
74.92346954,19
78.35025787,23
81.7770462,18
85.20384216,13
88.63063049,2
92.05741882,13
95.48421478,9
98.91100311,4
102.33779144,5
105.7645874,5
109.19137573,7
112.61816406,7
116.04496002,1
119.47174835,3
122.89853668,1
126.32533264,6
129.75212097,1
133.1789093,4
136.60569763,3
140.03250122,1
143.45928955,2
150.31286621,2
153.73965454,1
157.16644287,2
160.59324646,1
164.02003479,1
181.1539917,2
194.86114502,1
