x,y
-69.78749084,1
-67.84273529,1
-66.8703537,1
-65.89797974,1
-64.92559814,1
-62.98083878,3
-62.008461,2
-61.03607941,2
-58.11894226,1
-55.20180511,2
-53.25704956,1
-51.31229019,1
-50.33991241,4
-49.36753082,2
-48.39515305,2
-46.45039368,1
-45.4780159,1
-44.50563812,1
-43.53325653,1
-42.56087875,2
-41.58850098,3
-40.61611938,2
-39.64374161,1
-38.67136383,5
-37.69898605,6
-36.72660446,1
-35.75422668,3
-34.78184891,2
-33.80946732,7
-32.83708954,3
-31.86470985,6
-30.89233017,8
-29.91995239,4
-28.94757271,13
-27.97519302,14
-27.00281525,20
-26.03043556,21
-25.05805588,24
-24.0856781,32
-23.11329842,57
-22.14092064,53
-21.16854095,90
-20.19616127,140
-19.22378349,182
-18.25140381,247
-17.27902412,327
-16.30664635,468
-15.33426666,595
-14.36188793,822
-13.38950825,1071
-12.41712952,1492
-11.44475079,1986
-10.4723711,2535
-9.49999237,3286
-8.52761364,4118
-7.55523443,4997
-6.58285522,6073
-5.61047602,7096
-4.63809729,8292
-3.66571808,9032
-2.69333911,9751
-1.72096014,10042
-0.74858105,10031
0.22379795,9848
1.19617701,8718
2.16855597,7187
3.14093494,5557
4.11331415,4290
5.08569288,2979
6.05807209,2061
7.0304513,1394
8.00283051,901
8.97520924,602
9.94758797,327
10.91996765,214
11.89234638,124
12.86472511,88
13.8371048,47
14.80948353,38
15.78186226,27
16.75424194,23
17.72661972,8
18.6989994,5
19.67137909,6
20.64375687,2
21.61613655,2
22.58851624,3
23.56089401,4
25.50565338,3
26.47803116,1
27.45041084,1
