x,y
-241.41177368,1
-224.0635376,1
-206.71531677,1
-189.36709595,1
-172.01885986,4
-163.34474182,5
-154.67063904,8
-145.996521,5
-137.32240295,10
-128.64830017,24
-119.97418213,26
-111.30007172,41
-102.62595367,72
-93.95184326,98
-85.27773285,138
-76.60361481,186
-67.92950439,307
-59.25539017,439
-50.58127594,698
-41.90716171,1214
-33.2330513,2022
-24.55893707,3532
-15.88482285,6729
-7.21071005,13059
1.46340322,23187
10.13751602,22579
18.81163025,15392
27.48574257,10464
36.15985489,7435
44.83396912,5214
53.50808334,3770
62.18219757,2759
70.85630798,2130
79.53042603,1574
88.20453644,1250
96.87864685,1001
105.55276489,897
114.22687531,716
122.90098572,575
131.57510376,441
140.2492218,420
148.92332458,286
157.59744263,260
166.27156067,243
174.94566345,190
183.61978149,139
192.29389954,135
200.96800232,120
209.64212036,87
218.3162384,81
226.99034119,66
235.66445923,56
244.33857727,35
253.01269531,35
261.6867981,31
270.36090088,22
279.03503418,31
287.70913696,8
296.38323975,10
305.05737305,9
313.73147583,2
322.40560913,9
331.07971191,5
339.7538147,6
348.427948,4
357.10205078,4
365.77615356,2
374.45028687,1
383.12438965,2
391.79849243,3
400.47262573,3
409.14672852,1
417.8208313,1
435.16906738,2
443.84317017,1
461.19140625,1
469.86550903,1
495.8878479,1
513.23608398,1
539.25842285,1
625.99957275,1
